WMC,DIT,NOC,CBO,RFC,LCOM,NPM,LOC,class
3.0,2.0,0.0,11.0,33.0,66.0,2.0,45.0,1
2.0,2.0,0.0,9.0,32.0,50.0,1.0,41.0,1
4.0,2.0,0.0,9.0,34.0,50.0,2.0,78.0,1
32.0,1.0,1.0,31.0,44.0,91.0,19.0,300.0,1
2.0,3.0,0.0,1.0,39.0,0.0,2.0,5.0,1
3.0,2.0,0.0,12.0,33.0,66.0,1.0,107.0,1
5.0,2.0,0.0,18.0,35.0,70.0,1.0,79.0,1
2.0,2.0,0.0,8.0,32.0,0.0,2.0,18.0,1
17.0,0.0,1.0,2.0,17.0,0.0,0.0,24.0,1
5.0,0.0,1.0,2.0,5.0,0.0,0.0,20.0,1
4.0,1.0,0.0,7.0,16.0,75.0,1.0,102.0,1
23.0,1.0,0.0,13.0,35.0,88.0,18.0,301.0,1
0.0,1.0,0.0,1.0,12.0,0.0,0.0,6.0,1
22.0,1.0,0.0,11.0,34.0,93.0,7.0,397.0,1
31.0,1.0,0.0,10.0,43.0,85.0,17.0,967.0,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,181.0,1
11.0,1.0,0.0,4.0,23.0,9.0,10.0,143.0,1
8.0,1.0,0.0,2.0,20.0,60.0,0.0,97.0,1
2.0,1.0,0.0,13.0,14.0,0.0,2.0,63.0,0
8.0,7.0,0.0,13.0,850.0,77.0,7.0,114.0,0
2.0,0.0,8.0,1.0,2.0,0.0,0.0,5.0,0
2.0,1.0,0.0,18.0,14.0,0.0,2.0,86.0,1
4.0,6.0,0.0,15.0,780.0,62.0,3.0,137.0,0
3.0,1.0,0.0,14.0,15.0,33.0,3.0,101.0,0
3.0,1.0,0.0,10.0,15.0,0.0,2.0,48.0,0
2.0,1.0,0.0,15.0,14.0,0.0,2.0,84.0,0
4.0,7.0,0.0,15.0,795.0,50.0,3.0,138.0,0
2.0,1.0,0.0,10.0,14.0,0.0,2.0,119.0,0
3.0,1.0,0.0,18.0,15.0,0.0,2.0,133.0,0
13.0,1.0,0.0,7.0,25.0,71.0,12.0,106.0,1
13.0,1.0,0.0,10.0,25.0,72.0,13.0,134.0,1
5.0,2.0,0.0,8.0,30.0,53.0,4.0,78.0,0
13.0,2.0,0.0,16.0,89.0,71.0,8.0,213.0,1
14.0,1.0,0.0,10.0,26.0,90.0,13.0,463.0,1
30.0,1.0,0.0,11.0,42.0,91.0,30.0,198.0,1
10.0,2.0,0.0,19.0,26.0,68.0,10.0,207.0,1
7.0,2.0,0.0,11.0,27.0,66.0,3.0,141.0,0
2.0,0.0,2.0,2.0,2.0,0.0,2.0,6.0,0
12.0,1.0,0.0,8.0,24.0,66.0,10.0,124.0,0
18.0,2.0,1.0,16.0,43.0,84.0,11.0,547.0,1
8.0,1.0,2.0,4.0,20.0,70.0,5.0,55.0,0
4.0,1.0,1.0,5.0,16.0,92.0,4.0,77.0,0
1.0,1.0,0.0,2.0,13.0,0.0,1.0,24.0,0
2.0,1.0,0.0,2.0,14.0,100.0,2.0,9.0,0
6.0,1.0,0.0,2.0,18.0,66.0,6.0,33.0,1
10.0,1.0,0.0,6.0,22.0,85.0,9.0,151.0,1
12.0,1.0,0.0,17.0,24.0,70.0,6.0,628.0,1
7.0,1.0,0.0,2.0,19.0,53.0,2.0,41.0,0
7.0,1.0,2.0,11.0,19.0,47.0,7.0,61.0,0
56.0,1.0,0.0,59.0,68.0,97.0,52.0,836.0,1
17.0,1.0,0.0,31.0,29.0,75.0,9.0,393.0,0
2.0,2.0,0.0,2.0,25.0,0.0,2.0,49.0,0
3.0,1.0,0.0,8.0,15.0,16.0,3.0,97.0,1
2.0,2.0,0.0,2.0,25.0,0.0,2.0,39.0,0
12.0,2.0,0.0,37.0,28.0,79.0,3.0,720.0,1
14.0,1.0,0.0,10.0,26.0,74.0,11.0,309.0,0
10.0,1.0,0.0,3.0,22.0,19.0,7.0,117.0,0
8.0,1.0,0.0,26.0,20.0,50.0,4.0,298.0,1
6.0,1.0,1.0,1.0,18.0,0.0,6.0,14.0,1
21.0,1.0,0.0,8.0,33.0,75.0,19.0,271.0,0
2.0,2.0,0.0,2.0,25.0,0.0,2.0,11.0,0
11.0,1.0,3.0,13.0,23.0,72.0,10.0,80.0,0
6.0,0.0,1.0,1.0,6.0,0.0,1.0,12.0,1
13.0,1.0,5.0,5.0,25.0,53.0,13.0,73.0,1
15.0,1.0,0.0,15.0,27.0,89.0,15.0,214.0,1
15.0,5.0,23.0,11.0,649.0,75.0,13.0,138.0,0
4.0,0.0,1.0,2.0,4.0,0.0,0.0,7.0,0
2.0,2.0,1.0,3.0,23.0,50.0,1.0,15.0,0
5.0,1.0,0.0,8.0,17.0,40.0,4.0,64.0,0
3.0,1.0,0.0,13.0,15.0,0.0,1.0,61.0,0
9.0,6.0,0.0,25.0,636.0,81.0,7.0,228.0,1
3.0,5.0,0.0,28.0,637.0,53.0,1.0,541.0,1
12.0,2.0,0.0,13.0,37.0,80.0,8.0,207.0,0
10.0,1.0,0.0,15.0,22.0,66.0,1.0,348.0,1
5.0,1.0,0.0,20.0,17.0,56.0,0.0,312.0,1
3.0,5.0,0.0,25.0,637.0,50.0,2.0,505.0,1
12.0,2.0,0.0,8.0,37.0,80.0,8.0,105.0,1
3.0,6.0,0.0,17.0,653.0,71.0,3.0,120.0,1
6.0,2.0,0.0,21.0,22.0,69.0,2.0,188.0,1
4.0,2.0,0.0,9.0,23.0,0.0,3.0,39.0,0
40.0,1.0,0.0,45.0,52.0,84.0,29.0,812.0,1
2.0,1.0,2.0,2.0,14.0,50.0,2.0,16.0,1
9.0,1.0,0.0,10.0,21.0,66.0,4.0,126.0,1
9.0,2.0,0.0,10.0,28.0,44.0,8.0,85.0,1
5.0,0.0,2.0,2.0,5.0,0.0,0.0,8.0,0
5.0,1.0,0.0,3.0,17.0,0.0,5.0,26.0,0
7.0,1.0,2.0,7.0,19.0,28.0,6.0,78.0,1
13.0,5.0,0.0,30.0,647.0,80.0,10.0,405.0,1
18.0,7.0,0.0,51.0,673.0,81.0,8.0,701.0,1
6.0,2.0,0.0,4.0,20.0,64.0,3.0,142.0,1
8.0,5.0,0.0,31.0,642.0,70.0,5.0,287.0,1
5.0,2.0,0.0,14.0,49.0,74.0,4.0,193.0,1
4.0,2.0,0.0,11.0,48.0,0.0,4.0,46.0,0
20.0,1.0,0.0,29.0,32.0,87.0,19.0,234.0,0
18.0,2.0,0.0,25.0,62.0,88.0,18.0,310.0,1
32.0,1.0,4.0,25.0,44.0,95.0,30.0,453.0,1
9.0,2.0,0.0,11.0,53.0,58.0,9.0,131.0,0
24.0,1.0,0.0,39.0,36.0,87.0,17.0,459.0,1
11.0,2.0,0.0,9.0,36.0,77.0,7.0,114.0,0
152.0,1.0,0.0,82.0,164.0,97.0,126.0,2620.0,1
7.0,1.0,13.0,3.0,19.0,42.0,7.0,45.0,0
9.0,1.0,5.0,12.0,21.0,77.0,9.0,101.0,1
17.0,1.0,0.0,31.0,29.0,80.0,15.0,451.0,1
6.0,1.0,0.0,34.0,18.0,70.0,2.0,284.0,0
4.0,1.0,0.0,8.0,16.0,12.0,3.0,63.0,0
5.0,1.0,0.0,31.0,17.0,30.0,3.0,123.0,0
7.0,2.0,0.0,13.0,32.0,71.0,7.0,97.0,1
20.0,5.0,0.0,36.0,654.0,77.0,15.0,443.0,1
14.0,5.0,0.0,34.0,840.0,78.0,12.0,372.0,1
45.0,5.0,0.0,63.0,679.0,94.0,34.0,1211.0,1
6.0,7.0,0.0,34.0,661.0,66.0,5.0,409.0,1
6.0,7.0,0.0,21.0,790.0,33.0,3.0,219.0,1
12.0,2.0,0.0,13.0,40.0,54.0,10.0,172.0,1
16.0,5.0,0.0,31.0,650.0,74.0,15.0,397.0,1
4.0,5.0,0.0,22.0,698.0,50.0,2.0,201.0,1
7.0,2.0,0.0,12.0,23.0,50.0,2.0,245.0,0
7.0,6.0,0.0,21.0,685.0,77.0,5.0,195.0,0
2.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,0
12.0,2.0,0.0,13.0,37.0,79.0,8.0,104.0,0
4.0,2.0,0.0,9.0,74.0,41.0,4.0,90.0,1
1.0,2.0,0.0,4.0,25.0,0.0,1.0,10.0,0
20.0,1.0,0.0,26.0,32.0,77.0,19.0,217.0,0
10.0,1.0,0.0,34.0,22.0,66.0,6.0,341.0,1
4.0,1.0,0.0,6.0,16.0,50.0,3.0,43.0,0
60.0,6.0,0.0,72.0,687.0,95.0,46.0,1061.0,1
23.0,1.0,0.0,25.0,35.0,89.0,20.0,576.0,1
6.0,5.0,0.0,30.0,640.0,63.0,0.0,306.0,1
2.0,5.0,0.0,20.0,636.0,37.0,1.0,216.0,0
9.0,6.0,0.0,39.0,636.0,80.0,8.0,277.0,1
10.0,1.0,0.0,23.0,22.0,63.0,7.0,272.0,0
8.0,1.0,0.0,22.0,20.0,12.0,7.0,168.0,1
6.0,1.0,0.0,13.0,18.0,16.0,0.0,119.0,0
16.0,1.0,2.0,6.0,28.0,78.0,9.0,490.0,1
239.0,4.0,0.0,75.0,862.0,96.0,214.0,4600.0,1
37.0,4.0,0.0,30.0,660.0,92.0,36.0,602.0,1
31.0,1.0,0.0,31.0,43.0,83.0,14.0,1389.0,1
2.0,0.0,1.0,2.0,2.0,0.0,0.0,149.0,0
2.0,1.0,1.0,1.0,2.0,0.0,0.0,5.0,0
2.0,1.0,0.0,4.0,14.0,0.0,0.0,23.0,0
26.0,1.0,0.0,19.0,38.0,75.0,0.0,504.0,1
51.0,4.0,0.0,35.0,674.0,95.0,48.0,634.0,1
4.0,1.0,7.0,2.0,16.0,0.0,4.0,28.0,0
0.0,1.0,0.0,1.0,12.0,0.0,0.0,25.0,1
4.0,2.0,0.0,3.0,23.0,81.0,4.0,26.0,1
4.0,2.0,0.0,3.0,23.0,70.0,4.0,31.0,0
5.0,2.0,0.0,4.0,24.0,90.0,5.0,40.0,0
1.0,2.0,0.0,1.0,20.0,0.0,1.0,7.0,0
3.0,2.0,0.0,2.0,22.0,0.0,3.0,19.0,0
3.0,2.0,0.0,1.0,22.0,0.0,3.0,17.0,0
5.0,2.0,0.0,3.0,24.0,80.0,5.0,34.0,0
1.0,2.0,0.0,1.0,20.0,0.0,1.0,7.0,0
1.0,2.0,0.0,1.0,20.0,0.0,1.0,7.0,0
1.0,2.0,0.0,1.0,20.0,0.0,1.0,7.0,0
2.0,2.0,0.0,1.0,21.0,0.0,2.0,11.0,0
4.0,2.0,0.0,3.0,23.0,81.0,4.0,26.0,1
3.0,6.0,0.0,5.0,652.0,33.0,3.0,102.0,0
6.0,8.0,0.0,5.0,678.0,83.0,4.0,55.0,0
7.0,6.0,0.0,28.0,656.0,71.0,1.0,277.0,1
3.0,6.0,0.0,5.0,652.0,33.0,2.0,80.0,1
3.0,6.0,0.0,8.0,652.0,33.0,3.0,73.0,1
3.0,6.0,0.0,10.0,652.0,33.0,3.0,149.0,1
3.0,6.0,0.0,7.0,652.0,33.0,1.0,62.0,0
3.0,6.0,0.0,12.0,652.0,42.0,1.0,115.0,0
3.0,6.0,0.0,12.0,652.0,33.0,3.0,125.0,0
4.0,6.0,0.0,6.0,653.0,28.0,1.0,165.0,0
3.0,6.0,0.0,11.0,652.0,33.0,1.0,176.0,1
6.0,6.0,0.0,36.0,655.0,66.0,1.0,238.0,0
4.0,6.0,0.0,26.0,653.0,52.0,1.0,281.0,0
5.0,6.0,0.0,12.0,654.0,80.0,1.0,56.0,1
3.0,6.0,0.0,18.0,652.0,48.0,1.0,178.0,0
5.0,6.0,0.0,22.0,654.0,60.0,1.0,135.0,0
4.0,6.0,0.0,18.0,653.0,40.0,1.0,148.0,0
4.0,6.0,0.0,21.0,653.0,50.0,1.0,179.0,0
6.0,8.0,0.0,10.0,678.0,66.0,4.0,86.0,0
5.0,6.0,0.0,11.0,654.0,70.0,3.0,63.0,1
6.0,6.0,0.0,16.0,655.0,40.0,1.0,332.0,0
1.0,0.0,16.0,1.0,1.0,0.0,0.0,4.0,1
15.0,1.0,0.0,9.0,27.0,66.0,2.0,123.0,0
124.0,1.0,0.0,125.0,136.0,95.0,91.0,2467.0,1
51.0,1.0,0.0,40.0,63.0,98.0,49.0,955.0,1
29.0,1.0,1.0,52.0,41.0,84.0,17.0,1045.0,1
2.0,1.0,0.0,13.0,14.0,0.0,1.0,49.0,1
4.0,1.0,0.0,22.0,16.0,50.0,4.0,251.0,1
14.0,2.0,0.0,18.0,45.0,64.0,13.0,288.0,1
9.0,5.0,0.0,30.0,594.0,81.0,3.0,436.0,0
9.0,6.0,0.0,14.0,636.0,83.0,9.0,105.0,1
2.0,1.0,0.0,4.0,14.0,33.0,2.0,204.0,1
17.0,7.0,2.0,38.0,672.0,83.0,10.0,513.0,0
12.0,6.0,0.0,27.0,662.0,86.0,7.0,353.0,1
5.0,7.0,0.0,28.0,660.0,56.0,4.0,117.0,0
3.0,7.0,0.0,27.0,658.0,40.0,3.0,238.0,1
11.0,2.0,0.0,17.0,30.0,76.0,11.0,200.0,1
4.0,4.0,0.0,13.0,627.0,33.0,3.0,52.0,0
3.0,6.0,0.0,5.0,745.0,0.0,3.0,127.0,0
5.0,7.0,0.0,21.0,660.0,75.0,4.0,167.0,0
1.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,0
12.0,5.0,0.0,33.0,646.0,80.0,12.0,572.0,1
9.0,2.0,0.0,4.0,46.0,70.0,9.0,68.0,0
6.0,7.0,0.0,26.0,661.0,66.0,3.0,302.0,0
6.0,6.0,0.0,19.0,656.0,66.0,4.0,108.0,0
1.0,6.0,0.0,16.0,651.0,0.0,1.0,86.0,0
7.0,7.0,1.0,22.0,662.0,0.0,6.0,75.0,0
6.0,5.0,0.0,29.0,640.0,64.0,3.0,425.0,1
7.0,1.0,0.0,18.0,19.0,60.0,7.0,322.0,1
4.0,5.0,0.0,12.0,638.0,50.0,3.0,129.0,0
8.0,6.0,1.0,13.0,750.0,75.0,8.0,101.0,1
33.0,5.0,0.0,48.0,667.0,85.0,28.0,1311.0,1
6.0,5.0,0.0,24.0,640.0,66.0,5.0,184.0,0
10.0,5.0,0.0,13.0,836.0,80.0,9.0,143.0,1
23.0,6.0,2.0,22.0,784.0,82.0,15.0,373.0,1
5.0,0.0,2.0,1.0,5.0,0.0,0.0,8.0,0
2.0,5.0,0.0,5.0,704.0,25.0,2.0,50.0,0
5.0,1.0,0.0,6.0,17.0,50.0,3.0,65.0,0
6.0,7.0,0.0,28.0,661.0,60.0,3.0,164.0,1
19.0,1.0,1.0,17.0,31.0,77.0,17.0,204.0,1
2.0,8.0,0.0,3.0,664.0,0.0,2.0,11.0,0
4.0,7.0,0.0,27.0,659.0,70.0,3.0,96.0,0
3.0,7.0,0.0,22.0,658.0,66.0,3.0,114.0,1
14.0,1.0,0.0,31.0,26.0,76.0,10.0,850.0,1
4.0,4.0,0.0,18.0,627.0,44.0,4.0,72.0,0
16.0,1.0,0.0,8.0,28.0,82.0,14.0,181.0,0
5.0,6.0,18.0,5.0,655.0,80.0,4.0,105.0,0
2.0,7.0,0.0,6.0,752.0,50.0,2.0,55.0,0
3.0,7.0,0.0,13.0,658.0,66.0,3.0,158.0,0
8.0,5.0,0.0,12.0,642.0,50.0,8.0,165.0,0
7.0,6.0,0.0,7.0,749.0,42.0,5.0,89.0,0
8.0,2.0,0.0,25.0,78.0,70.0,4.0,206.0,1
4.0,2.0,0.0,1.0,34.0,0.0,3.0,30.0,0
10.0,1.0,0.0,13.0,22.0,78.0,6.0,310.0,1
6.0,1.0,0.0,1.0,18.0,11.0,6.0,39.0,0
13.0,2.0,0.0,9.0,83.0,75.0,11.0,143.0,1
8.0,1.0,0.0,5.0,20.0,66.0,5.0,106.0,0
4.0,1.0,5.0,3.0,16.0,0.0,4.0,27.0,0
2.0,1.0,3.0,1.0,2.0,0.0,0.0,5.0,0
17.0,1.0,0.0,16.0,29.0,82.0,9.0,290.0,1
8.0,1.0,0.0,1.0,20.0,50.0,8.0,43.0,0
13.0,1.0,12.0,3.0,25.0,0.0,13.0,56.0,0
117.0,1.0,0.0,16.0,129.0,96.0,27.0,2373.0,0
13.0,0.0,1.0,2.0,13.0,0.0,13.0,28.0,0
5.0,3.0,0.0,1.0,42.0,60.0,5.0,30.0,0
3.0,1.0,0.0,11.0,15.0,75.0,1.0,62.0,0
