length,even_odd,first_char_vowel,second_char_vowel,vowels,consonants,vowel_consonant_ratio,spaces,dots,words,class
8.0,1,0,1,3.0,4.0,0.75,1.0,0.0,2.0,1
15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,1
17.0,0,0,1,6.0,10.0,0.6,1.0,0.0,2.0,1
16.0,1,0,1,5.0,8.0,0.62,2.0,1.0,3.0,1
13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,1
15.0,0,0,1,4.0,8.0,0.5,2.0,1.0,3.0,1
10.0,1,0,1,3.0,6.0,0.5,1.0,0.0,2.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,1
14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,1
14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,1
17.0,0,0,1,6.0,10.0,0.6,1.0,0.0,2.0,1
13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,1
16.0,1,0,1,5.0,10.0,0.5,1.0,0.0,2.0,1
12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,1
12.0,1,0,1,4.0,5.0,0.8,2.0,1.0,3.0,1
14.0,1,0,1,4.0,7.0,0.57,2.0,1.0,3.0,1
16.0,1,0,1,4.0,9.0,0.44,2.0,1.0,3.0,1
12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
12.0,1,0,0,4.0,7.0,0.57,1.0,0.0,2.0,0
14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,1
18.0,1,1,1,4.0,9.0,0.44,3.0,2.0,4.0,1
11.0,0,1,0,4.0,6.0,0.67,1.0,0.0,2.0,0
12.0,1,1,0,4.0,7.0,0.57,1.0,0.0,2.0,0
11.0,0,1,0,4.0,6.0,0.67,1.0,0.0,2.0,0
13.0,0,1,0,5.0,7.0,0.71,1.0,0.0,2.0,0
13.0,0,1,0,5.0,7.0,0.71,1.0,0.0,2.0,0
9.0,0,1,0,4.0,4.0,1.0,1.0,0.0,2.0,0
16.0,1,1,0,6.0,9.0,0.67,1.0,0.0,2.0,0
16.0,1,0,1,7.0,8.0,0.88,1.0,0.0,2.0,1
12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,1
17.0,0,0,1,4.0,10.0,0.4,2.0,1.0,3.0,1
13.0,0,0,0,3.0,9.0,0.33,1.0,0.0,2.0,0
14.0,1,0,1,3.0,8.0,0.38,2.0,1.0,3.0,1
10.0,1,0,1,3.0,6.0,0.5,1.0,0.0,2.0,1
15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,1
17.0,0,0,1,6.0,8.0,0.75,2.0,1.0,3.0,1
11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,1
14.0,1,0,1,4.0,7.0,0.57,2.0,1.0,3.0,1
16.0,1,0,1,4.0,9.0,0.44,2.0,1.0,3.0,1
17.0,0,0,0,5.0,11.0,0.45,1.0,0.0,2.0,0
19.0,0,0,0,8.0,10.0,0.8,1.0,0.0,2.0,0
10.0,1,0,1,3.0,6.0,0.5,1.0,0.0,2.0,1
21.0,0,0,1,10.0,10.0,1.0,1.0,0.0,2.0,1
14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,1
10.0,1,0,1,2.0,7.0,0.29,1.0,0.0,2.0,1
14.0,1,0,1,6.0,7.0,0.86,1.0,0.0,2.0,1
14.0,1,0,1,6.0,7.0,0.86,1.0,0.0,2.0,1
11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,1
11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,1
20.0,1,1,0,8.0,11.0,0.73,1.0,0.0,2.0,0
18.0,1,0,0,5.0,10.0,0.5,2.0,1.0,3.0,0
13.0,0,0,0,3.0,6.0,0.5,2.0,2.0,3.0,0
14.0,1,0,1,4.0,7.0,0.57,2.0,1.0,3.0,1
11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,1
13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,1
11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,1
21.0,0,0,1,9.0,10.0,0.9,2.0,0.0,3.0,1
18.0,1,0,1,7.0,10.0,0.7,1.0,0.0,2.0,1
12.0,1,0,1,3.0,8.0,0.38,1.0,0.0,2.0,1
14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
9.0,0,0,1,2.0,6.0,0.33,1.0,0.0,2.0,1
10.0,1,0,1,5.0,4.0,1.25,1.0,0.0,2.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,1
18.0,1,0,1,5.0,12.0,0.42,1.0,0.0,2.0,1
9.0,0,0,1,3.0,5.0,0.6,1.0,0.0,2.0,1
12.0,1,0,1,3.0,8.0,0.38,1.0,0.0,2.0,1
13.0,0,0,1,3.0,7.0,0.43,2.0,1.0,3.0,1
12.0,1,0,1,3.0,6.0,0.5,2.0,1.0,3.0,1
12.0,1,0,1,3.0,8.0,0.38,1.0,0.0,2.0,1
15.0,0,0,1,4.0,10.0,0.4,1.0,0.0,2.0,1
16.0,1,0,1,5.0,10.0,0.5,1.0,0.0,2.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,1
16.0,1,0,1,5.0,8.0,0.62,2.0,1.0,3.0,1
17.0,0,0,1,6.0,10.0,0.6,1.0,0.0,2.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
16.0,1,0,1,4.0,9.0,0.44,2.0,1.0,3.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
15.0,0,0,1,6.0,8.0,0.75,1.0,0.0,2.0,1
13.0,0,0,0,4.0,8.0,0.5,1.0,0.0,2.0,0
12.0,1,0,1,4.0,5.0,0.8,2.0,1.0,3.0,1
8.0,1,0,1,2.0,5.0,0.4,1.0,0.0,2.0,1
17.0,0,0,1,5.0,11.0,0.45,1.0,0.0,2.0,1
10.0,1,0,1,4.0,5.0,0.8,1.0,0.0,2.0,1
13.0,0,0,1,6.0,6.0,1.0,1.0,0.0,2.0,1
8.0,1,0,1,2.0,5.0,0.4,1.0,0.0,2.0,1
15.0,0,0,1,6.0,8.0,0.75,1.0,0.0,2.0,1
16.0,1,0,1,5.0,10.0,0.5,1.0,0.0,2.0,1
15.0,0,0,0,4.0,8.0,0.5,2.0,1.0,3.0,0
25.0,0,0,0,8.0,16.0,0.5,1.0,0.0,2.0,0
17.0,0,0,0,3.0,11.0,0.27,2.0,1.0,3.0,0
13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,1
11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,1
10.0,1,0,1,3.0,6.0,0.5,1.0,0.0,2.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,1
21.0,0,0,1,7.0,12.0,0.58,2.0,0.0,3.0,1
14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,1
16.0,1,0,1,6.0,9.0,0.67,1.0,0.0,2.0,1
11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,1
14.0,1,0,1,6.0,7.0,0.86,1.0,0.0,2.0,1
15.0,0,0,1,4.0,8.0,0.5,2.0,1.0,3.0,1
13.0,0,0,0,3.0,7.0,0.43,2.0,1.0,3.0,0
12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,1
15.0,0,0,1,6.0,8.0,0.75,1.0,0.0,2.0,1
17.0,0,0,1,5.0,9.0,0.56,2.0,1.0,3.0,1
15.0,0,0,1,4.0,10.0,0.4,1.0,0.0,2.0,1
18.0,1,0,1,6.0,11.0,0.55,1.0,0.0,2.0,1
13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,1
14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,1
13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,1
16.0,1,0,1,4.0,11.0,0.36,1.0,0.0,2.0,1
11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,1
14.0,1,0,1,3.0,8.0,0.38,2.0,1.0,3.0,1
15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,1
13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,1
15.0,0,0,1,4.0,10.0,0.4,1.0,0.0,2.0,1
13.0,0,0,1,5.0,6.0,0.83,2.0,0.0,3.0,1
14.0,1,0,1,7.0,6.0,1.17,1.0,0.0,2.0,1
14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,1
14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,1
19.0,0,0,1,7.0,9.0,0.78,2.0,1.0,3.0,1
16.0,1,0,1,3.0,10.0,0.3,2.0,1.0,3.0,1
18.0,1,0,1,6.0,9.0,0.67,2.0,1.0,3.0,1
17.0,0,0,1,6.0,8.0,0.75,2.0,1.0,3.0,1
18.0,1,0,1,7.0,8.0,0.88,2.0,1.0,3.0,1
14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,1
15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,1
15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,1
17.0,0,0,1,5.0,9.0,0.56,2.0,1.0,3.0,1
18.0,1,0,1,7.0,8.0,0.88,3.0,0.0,4.0,1
13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,1
12.0,1,0,1,6.0,5.0,1.2,1.0,0.0,2.0,1
10.0,1,0,1,3.0,6.0,0.5,1.0,0.0,2.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
15.0,0,0,0,5.0,9.0,0.56,1.0,0.0,2.0,0
13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,1
9.0,0,0,1,5.0,3.0,1.67,1.0,0.0,2.0,1
18.0,1,0,1,7.0,10.0,0.7,1.0,0.0,2.0,1
10.0,1,0,1,4.0,5.0,0.8,1.0,0.0,2.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
16.0,1,0,1,6.0,9.0,0.67,1.0,0.0,2.0,1
19.0,0,0,1,8.0,10.0,0.8,1.0,0.0,2.0,1
16.0,1,0,1,7.0,8.0,0.88,1.0,0.0,2.0,1
11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,1
15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,1
10.0,1,1,0,4.0,5.0,0.8,1.0,0.0,2.0,0
14.0,1,1,0,6.0,6.0,1.0,2.0,0.0,3.0,0
15.0,0,0,1,4.0,10.0,0.4,1.0,0.0,2.0,1
13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,1
11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,1
18.0,1,0,1,6.0,9.0,0.67,2.0,1.0,3.0,1
17.0,0,0,1,3.0,11.0,0.27,2.0,1.0,3.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,1
12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,1
16.0,1,0,1,4.0,9.0,0.44,2.0,1.0,3.0,1
14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,1
9.0,0,0,0,2.0,6.0,0.33,1.0,0.0,2.0,0
11.0,0,0,0,3.0,7.0,0.43,1.0,0.0,2.0,0
16.0,1,0,0,6.0,9.0,0.67,1.0,0.0,2.0,0
19.0,0,0,0,6.0,12.0,0.5,1.0,0.0,2.0,0
18.0,1,0,0,4.0,11.0,0.36,2.0,1.0,3.0,0
13.0,0,0,0,4.0,6.0,0.67,2.0,1.0,3.0,0
14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,1
15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,1
14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,1
11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,1
18.0,1,0,1,7.0,8.0,0.88,2.0,1.0,3.0,1
17.0,0,0,1,4.0,10.0,0.4,2.0,1.0,3.0,1
15.0,0,0,1,4.0,8.0,0.5,2.0,1.0,3.0,1
15.0,0,0,1,4.0,8.0,0.5,2.0,1.0,3.0,1
14.0,1,0,1,4.0,7.0,0.57,2.0,1.0,3.0,1
15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
17.0,0,0,1,6.0,10.0,0.6,1.0,0.0,2.0,1
13.0,0,0,1,6.0,6.0,1.0,1.0,0.0,2.0,1
10.0,1,0,1,4.0,5.0,0.8,1.0,0.0,2.0,1
16.0,1,0,1,4.0,9.0,0.44,2.0,1.0,3.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
16.0,1,0,1,5.0,10.0,0.5,1.0,0.0,2.0,1
15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,1
13.0,0,0,1,3.0,9.0,0.33,1.0,0.0,2.0,1
14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,1
11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,1
18.0,1,0,1,5.0,11.0,0.45,2.0,0.0,3.0,1
16.0,1,0,0,5.0,8.0,0.62,2.0,1.0,3.0,0
13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,1
15.0,0,0,1,6.0,8.0,0.75,1.0,0.0,2.0,1
13.0,0,0,1,3.0,9.0,0.33,1.0,0.0,2.0,1
14.0,1,0,0,5.0,8.0,0.62,1.0,0.0,2.0,0
16.0,1,0,0,5.0,10.0,0.5,1.0,0.0,2.0,0
12.0,1,0,0,4.0,7.0,0.57,1.0,0.0,2.0,0
14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,1
18.0,1,0,0,5.0,10.0,0.5,2.0,1.0,3.0,0
17.0,0,0,0,6.0,10.0,0.6,1.0,0.0,2.0,0
11.0,0,0,0,3.0,7.0,0.43,1.0,0.0,2.0,0
13.0,0,0,0,4.0,8.0,0.5,1.0,0.0,2.0,0
13.0,0,0,0,4.0,8.0,0.5,1.0,0.0,2.0,0
12.0,1,0,0,3.0,8.0,0.38,1.0,0.0,2.0,0
17.0,0,0,0,5.0,11.0,0.45,1.0,0.0,2.0,0
14.0,1,0,0,5.0,6.0,0.83,2.0,1.0,3.0,0
13.0,0,0,0,4.0,8.0,0.5,1.0,0.0,2.0,0
15.0,0,0,0,4.0,10.0,0.4,1.0,0.0,2.0,0
16.0,1,0,0,4.0,9.0,0.44,2.0,1.0,3.0,0
14.0,1,0,0,4.0,9.0,0.44,1.0,0.0,2.0,0
16.0,1,0,1,5.0,8.0,0.62,2.0,1.0,3.0,1
17.0,0,0,1,8.0,8.0,1.0,1.0,0.0,2.0,1
12.0,1,0,1,3.0,8.0,0.38,1.0,0.0,2.0,1
12.0,1,0,1,7.0,4.0,1.75,1.0,0.0,2.0,1
12.0,1,0,1,6.0,5.0,1.2,1.0,0.0,2.0,1
18.0,1,0,0,6.0,9.0,0.67,2.0,1.0,3.0,0
13.0,0,0,0,4.0,8.0,0.5,1.0,0.0,2.0,0
20.0,1,0,0,6.0,11.0,0.55,2.0,1.0,3.0,0
19.0,0,0,0,4.0,12.0,0.33,2.0,1.0,3.0,0
15.0,0,0,0,5.0,9.0,0.56,1.0,0.0,2.0,0
15.0,0,0,0,5.0,9.0,0.56,1.0,0.0,2.0,0
17.0,0,0,1,4.0,10.0,0.4,2.0,1.0,3.0,1
12.0,1,0,1,3.0,8.0,0.38,1.0,0.0,2.0,1
11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,1
11.0,0,0,1,3.0,7.0,0.43,1.0,0.0,2.0,1
15.0,0,0,1,3.0,9.0,0.33,2.0,1.0,3.0,1
20.0,1,0,1,8.0,11.0,0.73,1.0,0.0,2.0,1
12.0,1,1,0,5.0,6.0,0.83,1.0,0.0,2.0,0
14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,1
11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,1
7.0,0,0,1,3.0,3.0,1.0,1.0,0.0,2.0,1
13.0,0,0,1,3.0,7.0,0.43,2.0,1.0,3.0,1
11.0,0,0,1,5.0,4.0,1.25,2.0,0.0,3.0,1
13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,1
17.0,0,0,1,7.0,7.0,1.0,2.0,1.0,3.0,1
13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,1
15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,1
13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,1
14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,1
14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,1
12.0,1,0,0,4.0,7.0,0.57,1.0,0.0,2.0,0
11.0,0,0,1,5.0,5.0,1.0,1.0,0.0,2.0,1
14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,1
11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,1
11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,1
12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,1
15.0,0,0,1,7.0,7.0,1.0,1.0,0.0,2.0,1
13.0,0,0,0,4.0,8.0,0.5,1.0,0.0,2.0,0
