PERCENT_PUB_DATA,COUPLING_BETWEEN_OBJECTS,DEPTH,LACK_OF_COHESION_OF_METHODS,NUM_OF_CHILDREN,DEP_ON_CHILD,FAN_IN,RESPONSE_FOR_CLASS,WEIGHTED_METHODS_PER_CLASS,minLOC_EXECUTABLE,minHALSTEAD_CONTENT,minHALSTEAD_DIFFICULTY,minHALSTEAD_EFFORT,minHALSTEAD_ERROR_EST,minHALSTEAD_LENGTH,minHALSTEAD_LEVEL,minHALSTEAD_PROG_TIME,minHALSTEAD_VOLUME,minNUM_OPERANDS,minNUM_OPERATORS,minNUM_UNIQUE_OPERANDS,minNUM_UNIQUE_OPERATORS,minLOC_TOTAL,maxLOC_BLANK,maxBRANCH_COUNT,maxLOC_CODE_AND_COMMENT,maxLOC_COMMENTS,maxCYCLOMATIC_COMPLEXITY,maxDESIGN_COMPLEXITY,maxESSENTIAL_COMPLEXITY,maxLOC_EXECUTABLE,maxHALSTEAD_CONTENT,maxHALSTEAD_DIFFICULTY,maxHALSTEAD_EFFORT,maxHALSTEAD_ERROR_EST,maxHALSTEAD_LENGTH,maxHALSTEAD_LEVEL,maxHALSTEAD_PROG_TIME,maxHALSTEAD_VOLUME,maxNUM_OPERANDS,maxNUM_OPERATORS,maxNUM_UNIQUE_OPERANDS,maxNUM_UNIQUE_OPERATORS,maxLOC_TOTAL,avgLOC_BLANK,avgBRANCH_COUNT,avgLOC_CODE_AND_COMMENT,avgLOC_COMMENTS,avgCYCLOMATIC_COMPLEXITY,avgDESIGN_COMPLEXITY,avgESSENTIAL_COMPLEXITY,avgLOC_EXECUTABLE,avgHALSTEAD_CONTENT,avgHALSTEAD_DIFFICULTY,avgHALSTEAD_EFFORT,avgHALSTEAD_ERROR_EST,avgHALSTEAD_LENGTH,avgHALSTEAD_LEVEL,avgHALSTEAD_PROG_TIME,avgHALSTEAD_VOLUME,avgNUM_OPERANDS,avgNUM_OPERATORS,avgNUM_UNIQUE_OPERANDS,avgNUM_UNIQUE_OPERATORS,avgLOC_TOTAL,sumLOC_BLANK,sumBRANCH_COUNT,sumLOC_CODE_AND_COMMENT,sumLOC_COMMENTS,sumCYCLOMATIC_COMPLEXITY,sumDESIGN_COMPLEXITY,sumESSENTIAL_COMPLEXITY,sumLOC_EXECUTABLE,sumHALSTEAD_CONTENT,sumHALSTEAD_DIFFICULTY,sumHALSTEAD_EFFORT,sumHALSTEAD_ERROR_EST,sumHALSTEAD_LENGTH,sumHALSTEAD_LEVEL,sumHALSTEAD_PROG_TIME,sumHALSTEAD_VOLUME,sumNUM_OPERANDS,sumNUM_OPERATORS,sumNUM_UNIQUE_OPERANDS,sumNUM_UNIQUE_OPERATORS,sumLOC_TOTAL,class
0.0,9.0,1.0,0.0,4.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,14.0,0.0,1.0,8.0,7.0,3.0,57.0,60.05,15.52,12497.82,0.27,145.0,0.1,694.32,805.42,50.0,95.0,29.0,18.0,63.0,0.285714,6.857143,0.0,0.142857,4.285714,4.142857,1.285714,33.285714,37.754286,8.105714,4936.654,0.14,81.571429,0.064286,274.2571,423.521429,28.142857,53.428571,16.571429,9.857143,38.285714,2.0,48.0,0.0,1.0,30.0,29.0,9.0,233.0,264.28,56.74,34556.58,0.98,571.0,0.45,1919.8,2964.65,197.0,374.0,116.0,69.0,268.0,0
0.0,6.0,2.0,59.0,0.0,0.0,1.0,33.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,11.0,28.0,5.78,747.25,0.04,32.0,2.0,41.51,133.44,14.0,18.0,10.0,8.0,16.0,0.44,1.16,0.0,0.0,1.08,1.08,1.0,4.88,16.366,2.5752,164.408,0.0168,12.96,0.4528,9.1336,47.7188,5.64,7.32,5.32,4.92,8.72,11.0,29.0,0.0,0.0,27.0,27.0,25.0,122.0,409.15,64.38,4110.2,0.42,324.0,11.32,228.34,1192.97,141.0,183.0,133.0,123.0,218.0,1
0.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,7.0,0.0,0.0,4.0,4.0,1.0,55.0,63.49,18.98,22882.74,0.4,217.0,1.0,1271.26,1205.35,81.0,136.0,32.0,15.0,61.0,0.5,3.0,0.0,0.0,2.0,2.0,1.0,18.166667,24.71,6.663333,7173.412,0.128333,71.666667,0.295,398.5217,387.46,26.833333,44.833333,11.333333,6.166667,22.0,3.0,18.0,0.0,0.0,12.0,12.0,6.0,109.0,148.26,39.98,43040.47,0.77,430.0,1.77,2391.13,2324.76,161.0,269.0,68.0,37.0,132.0,0
100.0,4.0,1.0,75.0,2.0,0.0,0.0,8.0,8.0,0.0,4.75,1.0,4.75,0.0,3.0,0.67,0.26,4.75,1.0,2.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.33,1.5,12.0,0.0,4.0,1.0,0.67,8.0,1.0,3.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.04,1.25,8.375,0.0,3.5,0.835,0.465,6.375,1.0,2.5,1.0,2.5,4.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,10.08,2.5,16.75,0.0,7.0,1.67,0.93,12.75,2.0,5.0,2.0,5.0,8.0,1
0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,16.32,4.67,355.35,0.03,20.0,0.33,19.74,76.15,7.0,13.0,6.0,8.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,8.61,2.556667,146.98,0.013333,10.0,0.18,8.163333,34.893333,3.333333,6.666667,3.0,5.0,5.666667,0.0,6.0,0.0,0.0,6.0,6.0,6.0,18.0,51.66,15.34,881.88,0.08,60.0,1.08,48.98,209.36,20.0,40.0,18.0,30.0,34.0,1
100.0,24.0,4.0,96.0,0.0,0.0,3.0,140.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,22.0,42.0,1.0,35.0,22.0,16.0,12.0,130.0,101.78,35.6,90061.35,1.01,463.0,0.33,5003.41,3027.63,192.0,271.0,71.0,28.0,162.0,3.257143,8.057143,0.028571,1.571429,4.542857,3.914286,2.114286,28.314286,37.359143,11.444571,12038.0,0.182571,99.628571,0.128571,668.7771,549.356571,39.714286,59.914286,19.085714,11.657143,35.857143,114.0,282.0,1.0,55.0,159.0,137.0,74.0,991.0,1307.57,400.56,421329.86,6.39,3487.0,4.5,23407.2,19227.48,1390.0,2097.0,668.0,408.0,1255.0,0
0.0,23.0,2.0,92.0,0.0,0.0,1.0,53.0,25.0,0.0,5.33,1.0,8.0,0.0,4.0,0.03,0.44,8.0,1.0,2.0,1.0,2.0,1.0,16.0,23.0,0.0,6.0,12.0,12.0,6.0,97.0,137.08,28.95,47016.12,0.82,382.0,1.0,2612.01,2467.5,140.0,242.0,70.0,22.0,116.0,3.32,6.12,0.0,0.8,3.56,3.48,1.44,19.92,24.9552,9.0896,8833.148,0.1368,73.12,0.3832,490.732,413.574,27.96,45.16,13.64,9.64,25.96,83.0,153.0,0.0,20.0,89.0,87.0,36.0,498.0,623.88,227.24,220828.71,3.42,1828.0,9.58,12268.3,10339.35,699.0,1129.0,341.0,241.0,649.0,0
0.0,9.0,2.0,28.0,0.0,0.0,1.0,31.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,7.0,0.0,0.0,4.0,4.0,1.0,25.0,51.76,9.53,3989.43,0.14,85.0,0.5,221.64,421.11,30.0,55.0,19.0,12.0,32.0,1.695652,1.956522,0.0,0.0,1.478261,1.478261,1.0,10.391304,33.293044,3.994348,839.8109,0.049565,33.391304,0.274348,46.65739,146.834783,13.73913,19.652174,11.434783,6.565217,16.695652,39.0,45.0,0.0,0.0,34.0,34.0,23.0,239.0,765.74,91.87,19315.65,1.14,768.0,6.31,1073.12,3377.2,316.0,452.0,263.0,151.0,384.0,1
0.0,2.0,2.0,94.0,0.0,0.0,1.0,52.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,4.0,4.0,1.0,35.0,132.09,7.78,7990.75,0.34,186.0,0.67,443.93,1027.38,56.0,130.0,36.0,10.0,37.0,0.0,1.294118,0.0,0.0,1.176471,1.176471,1.0,2.117647,12.472941,1.781177,480.6324,0.02,14.529412,0.598824,26.70471,67.492941,4.176471,10.352941,3.0,3.294118,3.235294,0.0,22.0,0.0,0.0,20.0,20.0,17.0,36.0,212.04,30.28,8170.75,0.34,247.0,10.18,453.98,1147.38,71.0,176.0,51.0,56.0,55.0,1
0.0,6.0,1.0,80.0,0.0,0.0,0.0,15.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,13.0,54.15,5.56,1671.27,0.1,64.0,2.0,92.85,300.83,25.0,39.0,18.0,8.0,18.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,5.066667,19.204,3.532667,431.7767,0.029333,21.2,0.362667,23.986,87.018,8.0,13.2,6.4,6.133333,8.466667,0.0,15.0,0.0,0.0,15.0,15.0,15.0,76.0,288.06,52.99,6476.65,0.44,318.0,5.44,359.79,1305.27,120.0,198.0,96.0,92.0,127.0,1
0.0,5.0,1.0,25.0,0.0,0.0,0.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,5.0,0.0,0.0,3.0,3.0,1.0,20.0,77.55,9.4,5829.1,0.21,115.0,2.0,323.84,620.12,47.0,68.0,30.0,12.0,32.0,0.333333,1.444444,0.0,0.0,1.222222,1.222222,1.0,12.0,48.282222,5.146667,2116.256,0.103333,62.777778,0.344444,117.57,309.29,25.555556,37.222222,17.111111,7.0,17.666667,3.0,13.0,0.0,0.0,11.0,11.0,9.0,108.0,434.54,46.32,19046.3,0.93,565.0,3.1,1058.13,2783.61,230.0,335.0,154.0,63.0,159.0,0
0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,1.5,12.0,0.0,4.0,0.67,0.67,8.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.74,1.5,17.41,0.0,5.0,0.67,0.97,11.61,2.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.133333,1.5,13.80333,0.0,4.333333,0.67,0.77,9.203333,1.333333,3.0,1.333333,3.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,18.4,4.5,41.41,0.0,13.0,2.01,2.31,27.61,4.0,9.0,4.0,9.0,3.0,1
0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,1.5,12.0,0.0,4.0,0.5,0.67,8.0,1.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.8,2.0,23.22,0.0,5.0,0.67,1.29,11.61,1.0,4.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.424,1.6,14.244,0.0,4.2,0.636,0.794,8.722,1.0,3.2,1.0,3.2,2.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,27.12,8.0,71.22,0.0,21.0,3.18,3.97,43.61,5.0,16.0,5.0,16.0,10.0,1
0.0,8.0,1.0,58.0,0.0,0.0,0.0,37.0,34.0,0.0,5.33,1.5,12.0,0.0,4.0,0.05,0.67,8.0,1.0,3.0,1.0,3.0,1.0,10.0,17.0,2.0,8.0,12.0,9.0,1.0,53.0,37.59,19.71,14609.41,0.25,130.0,0.67,811.63,741.06,46.0,84.0,28.0,24.0,73.0,0.69697,2.757576,0.393939,0.666667,2.090909,1.606061,1.0,6.424242,13.128182,4.011212,828.5812,0.024848,18.0,0.356364,46.03242,74.068182,5.575758,12.424242,4.363636,6.636364,10.151515,23.0,91.0,13.0,22.0,69.0,53.0,33.0,212.0,433.23,132.37,27343.18,0.82,594.0,11.76,1519.07,2444.25,184.0,410.0,144.0,219.0,335.0,1
0.0,15.0,1.0,77.0,0.0,0.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,16.0,51.0,7.0,16.0,26.0,19.0,16.0,171.0,64.47,49.32,156823.6,1.06,491.0,0.67,8712.42,3179.59,194.0,297.0,59.0,30.0,205.0,2.083333,6.833333,0.583333,2.25,3.916667,3.083333,2.5,22.75,20.646667,8.436667,14902.75,0.125833,65.416667,0.336667,827.9308,384.0075,25.083333,40.333333,11.583333,9.083333,30.166667,25.0,82.0,7.0,27.0,47.0,37.0,30.0,273.0,247.76,101.24,178832.95,1.51,785.0,4.04,9935.17,4608.09,301.0,484.0,139.0,109.0,362.0,0
0.0,11.0,1.0,76.0,0.0,0.0,0.0,28.0,28.0,0.0,5.33,1.5,12.0,0.0,4.0,0.05,0.67,8.0,1.0,3.0,1.0,3.0,1.0,4.0,7.0,0.0,11.0,4.0,4.0,1.0,25.0,34.05,18.2,5757.8,0.11,69.0,0.67,319.88,316.36,26.0,43.0,14.0,14.0,40.0,0.178571,2.214286,0.0,0.678571,1.571429,1.464286,1.0,5.928571,14.673929,4.725714,549.7079,0.024643,19.892857,0.291071,30.53964,75.373214,7.5,12.392857,5.0,6.25,9.142857,5.0,62.0,0.0,19.0,44.0,41.0,28.0,166.0,410.87,132.32,15391.82,0.69,557.0,8.15,855.11,2110.45,210.0,347.0,140.0,175.0,256.0,0
0.0,12.0,1.0,55.0,0.0,0.0,0.0,24.0,20.0,2.0,6.2,2.0,38.77,0.01,6.0,0.05,2.15,15.51,1.0,4.0,1.0,4.0,4.0,3.0,11.0,5.0,3.0,6.0,6.0,1.0,37.0,27.57,21.0,9158.6,0.15,90.0,0.5,508.81,450.0,37.0,58.0,17.0,18.0,45.0,0.65,3.4,0.4,0.35,2.15,1.9,1.0,9.95,13.492,8.182,1917.686,0.0435,29.9,0.2515,106.5385,129.471,10.35,19.55,5.65,8.85,13.35,13.0,68.0,8.0,7.0,43.0,38.0,20.0,199.0,269.84,163.64,38353.73,0.87,598.0,5.03,2130.77,2589.42,207.0,391.0,113.0,177.0,267.0,0
100.0,4.0,1.0,100.0,0.0,0.0,0.0,11.0,11.0,0.0,5.33,1.5,12.0,0.0,4.0,0.04,0.67,8.0,1.0,3.0,1.0,3.0,1.0,10.0,23.0,1.0,10.0,12.0,10.0,8.0,53.0,54.22,23.42,29746.87,0.42,215.0,0.67,1652.6,1269.98,87.0,128.0,39.0,21.0,72.0,2.833333,7.666667,0.333333,3.166667,3.666667,3.333333,2.166667,18.0,22.141667,8.525,5608.283,0.096667,56.666667,0.251667,311.5717,295.336667,23.0,33.666667,11.666667,9.166667,26.166667,17.0,46.0,2.0,19.0,22.0,20.0,13.0,108.0,132.85,51.15,33649.7,0.58,340.0,1.51,1869.43,1772.02,138.0,202.0,70.0,55.0,157.0,0
17.0,14.0,4.0,94.0,0.0,0.0,1.0,198.0,24.0,0.0,5.33,1.5,12.0,0.0,4.0,0.04,0.67,8.0,1.0,3.0,1.0,3.0,1.0,23.0,54.0,3.0,19.0,28.0,27.0,18.0,173.0,143.73,26.47,77990.66,1.12,521.0,0.67,4332.81,3348.08,176.0,345.0,68.0,18.0,217.0,5.181818,7.545455,0.136364,3.227273,4.318182,3.318182,1.863636,25.227273,30.285,8.057727,7870.748,0.140909,78.227273,0.319545,437.2641,427.842273,28.954546,49.272727,13.681818,8.545455,36.136364,114.0,166.0,3.0,71.0,95.0,73.0,41.0,555.0,666.27,177.27,173156.46,3.1,1721.0,7.03,9619.81,9412.53,637.0,1084.0,301.0,188.0,795.0,0
100.0,2.0,2.0,85.0,0.0,0.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,35.0,4.0,19.0,18.0,12.0,11.0,80.0,39.84,31.05,38405.82,0.41,213.0,2.0,2133.66,1236.97,77.0,136.0,31.0,25.0,107.0,0.0,9.5,1.0,4.75,5.25,3.75,3.5,21.5,16.86,8.1375,9606.573,0.105,56.0,0.7575,533.7,314.9525,20.75,35.25,9.25,7.25,29.75,0.0,38.0,4.0,19.0,21.0,15.0,14.0,86.0,67.44,32.55,38426.29,0.42,224.0,3.03,2134.8,1259.81,83.0,141.0,37.0,29.0,119.0,1
