V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,class
68.0,retired,divorced,secondary,no,4189.0,no,no,telephone,14.0,jul,897.0,2.0,-1.0,0.0,unknown,0
31.0,technician,married,secondary,no,171.0,no,no,cellular,27.0,aug,81.0,3.0,-1.0,0.0,unknown,1
59.0,management,married,secondary,no,42.0,no,no,cellular,21.0,nov,40.0,1.0,-1.0,0.0,unknown,1
32.0,management,single,tertiary,no,2536.0,yes,no,cellular,26.0,aug,958.0,6.0,-1.0,0.0,unknown,0
49.0,technician,married,tertiary,no,1235.0,no,no,cellular,13.0,aug,354.0,3.0,-1.0,0.0,unknown,0
42.0,admin.,divorced,secondary,no,1811.0,yes,no,unknown,14.0,may,150.0,1.0,-1.0,0.0,unknown,1
78.0,retired,divorced,primary,no,229.0,no,no,telephone,22.0,oct,97.0,1.0,-1.0,0.0,unknown,0
32.0,blue-collar,married,secondary,no,2089.0,yes,no,cellular,14.0,nov,132.0,1.0,-1.0,0.0,unknown,0
33.0,management,married,secondary,no,3935.0,yes,no,cellular,6.0,may,765.0,1.0,342.0,2.0,failure,0
23.0,services,single,tertiary,no,363.0,yes,no,unknown,30.0,may,16.0,18.0,-1.0,0.0,unknown,1
38.0,management,single,tertiary,no,11971.0,yes,no,unknown,17.0,nov,609.0,2.0,101.0,3.0,failure,1
36.0,management,single,tertiary,no,553.0,no,no,cellular,11.0,aug,106.0,2.0,-1.0,0.0,unknown,1
52.0,blue-collar,married,secondary,no,1117.0,yes,no,cellular,13.0,may,365.0,1.0,-1.0,0.0,unknown,1
32.0,technician,married,tertiary,no,396.0,yes,no,cellular,13.0,may,205.0,3.0,-1.0,0.0,unknown,1
32.0,technician,single,tertiary,no,2204.0,yes,no,cellular,21.0,nov,11.0,4.0,-1.0,0.0,unknown,1
34.0,management,single,tertiary,no,872.0,yes,no,unknown,7.0,may,105.0,2.0,-1.0,0.0,unknown,1
55.0,blue-collar,married,primary,no,145.0,no,no,telephone,2.0,feb,59.0,3.0,5.0,2.0,other,1
26.0,blue-collar,married,primary,no,0.0,yes,no,unknown,21.0,may,425.0,1.0,-1.0,0.0,unknown,1
32.0,entrepreneur,single,primary,yes,-849.0,yes,yes,cellular,4.0,feb,204.0,1.0,-1.0,0.0,unknown,1
61.0,admin.,married,unknown,no,4629.0,yes,no,cellular,27.0,jan,181.0,1.0,92.0,1.0,success,0
45.0,blue-collar,divorced,primary,no,844.0,no,no,unknown,5.0,jun,1018.0,3.0,-1.0,0.0,unknown,0
37.0,technician,single,secondary,no,228.0,yes,no,cellular,20.0,aug,1740.0,2.0,-1.0,0.0,unknown,1
38.0,technician,single,secondary,no,50.0,no,no,cellular,29.0,aug,98.0,2.0,-1.0,0.0,unknown,1
34.0,technician,married,tertiary,no,1539.0,yes,no,cellular,15.0,jun,441.0,1.0,56.0,1.0,other,0
53.0,blue-collar,married,secondary,no,2231.0,yes,no,cellular,14.0,jul,272.0,3.0,-1.0,0.0,unknown,1
48.0,admin.,married,secondary,no,3064.0,yes,no,telephone,15.0,jul,159.0,2.0,-1.0,0.0,unknown,1
57.0,management,married,secondary,no,82.0,no,yes,telephone,4.0,feb,140.0,1.0,-1.0,0.0,unknown,1
33.0,self-employed,single,tertiary,no,2155.0,no,no,cellular,17.0,nov,295.0,1.0,-1.0,0.0,unknown,1
36.0,retired,single,secondary,no,101.0,yes,yes,unknown,26.0,may,314.0,1.0,-1.0,0.0,unknown,1
54.0,technician,divorced,secondary,no,784.0,yes,yes,unknown,15.0,may,579.0,1.0,-1.0,0.0,unknown,1
41.0,blue-collar,married,primary,no,-516.0,no,yes,telephone,8.0,jul,554.0,3.0,-1.0,0.0,unknown,1
63.0,retired,married,secondary,no,415.0,yes,no,cellular,7.0,oct,323.0,1.0,-1.0,0.0,unknown,1
48.0,management,married,tertiary,no,5887.0,no,no,cellular,13.0,aug,227.0,2.0,-1.0,0.0,unknown,1
48.0,services,married,secondary,no,1355.0,no,no,cellular,4.0,jul,134.0,2.0,-1.0,0.0,unknown,1
56.0,admin.,married,secondary,no,16873.0,no,no,cellular,7.0,oct,223.0,1.0,-1.0,0.0,unknown,1
51.0,blue-collar,divorced,secondary,no,203.0,yes,no,cellular,8.0,may,134.0,1.0,170.0,5.0,failure,1
31.0,services,married,secondary,no,338.0,yes,no,cellular,28.0,jan,155.0,1.0,-1.0,0.0,unknown,1
29.0,technician,married,secondary,no,444.0,yes,no,cellular,21.0,jul,130.0,4.0,-1.0,0.0,unknown,1
41.0,management,married,secondary,no,0.0,no,yes,cellular,7.0,jul,630.0,3.0,-1.0,0.0,unknown,1
32.0,technician,single,tertiary,no,360.0,no,no,cellular,19.0,nov,164.0,2.0,-1.0,0.0,unknown,1
37.0,management,married,tertiary,no,0.0,no,no,cellular,16.0,jul,268.0,2.0,182.0,3.0,success,0
42.0,entrepreneur,divorced,tertiary,yes,2.0,yes,no,unknown,5.0,may,380.0,1.0,-1.0,0.0,unknown,1
31.0,management,single,tertiary,no,6248.0,yes,no,unknown,9.0,may,154.0,2.0,-1.0,0.0,unknown,1
41.0,services,married,tertiary,no,412.0,yes,no,unknown,3.0,jun,154.0,5.0,-1.0,0.0,unknown,1
56.0,retired,married,secondary,no,344.0,yes,no,unknown,15.0,may,221.0,1.0,-1.0,0.0,unknown,1
54.0,management,divorced,tertiary,no,3222.0,no,no,cellular,14.0,aug,67.0,2.0,-1.0,0.0,unknown,1
41.0,blue-collar,divorced,secondary,no,174.0,yes,no,cellular,14.0,may,367.0,2.0,297.0,1.0,other,1
40.0,technician,single,secondary,no,591.0,no,yes,cellular,14.0,aug,87.0,6.0,-1.0,0.0,unknown,1
50.0,blue-collar,divorced,primary,no,388.0,no,no,cellular,5.0,feb,701.0,1.0,-1.0,0.0,unknown,1
40.0,unemployed,married,secondary,no,219.0,yes,no,cellular,17.0,nov,204.0,2.0,196.0,1.0,failure,1
27.0,admin.,divorced,secondary,no,451.0,yes,no,cellular,16.0,jul,652.0,1.0,-1.0,0.0,unknown,0
60.0,retired,married,primary,no,5.0,no,no,cellular,26.0,aug,63.0,2.0,-1.0,0.0,unknown,1
28.0,admin.,single,secondary,no,177.0,yes,yes,cellular,6.0,may,150.0,1.0,-1.0,0.0,unknown,1
52.0,services,married,secondary,no,657.0,no,no,telephone,7.0,jul,398.0,2.0,460.0,2.0,failure,0
37.0,management,married,tertiary,no,1315.0,no,no,cellular,30.0,jun,224.0,1.0,-1.0,0.0,unknown,0
51.0,blue-collar,married,primary,no,1466.0,yes,no,unknown,7.0,may,406.0,2.0,-1.0,0.0,unknown,1
41.0,technician,single,secondary,no,879.0,no,yes,cellular,7.0,jul,60.0,4.0,-1.0,0.0,unknown,1
35.0,blue-collar,single,primary,no,293.0,yes,no,unknown,30.0,may,521.0,2.0,-1.0,0.0,unknown,1
38.0,admin.,married,secondary,no,424.0,yes,no,cellular,17.0,apr,279.0,1.0,-1.0,0.0,unknown,1
34.0,blue-collar,married,secondary,no,1831.0,yes,no,unknown,20.0,may,203.0,2.0,-1.0,0.0,unknown,1
39.0,blue-collar,married,primary,no,111.0,no,no,cellular,18.0,nov,201.0,2.0,-1.0,0.0,unknown,1
34.0,blue-collar,married,primary,no,455.0,yes,no,unknown,20.0,jun,372.0,3.0,-1.0,0.0,unknown,1
27.0,services,single,secondary,no,-195.0,yes,no,cellular,18.0,may,391.0,1.0,-1.0,0.0,unknown,0
32.0,management,single,tertiary,no,3616.0,no,no,cellular,14.0,aug,165.0,2.0,-1.0,0.0,unknown,1
57.0,blue-collar,married,secondary,no,14093.0,no,no,cellular,11.0,aug,231.0,5.0,-1.0,0.0,unknown,1
41.0,unknown,single,tertiary,no,1567.0,no,no,cellular,1.0,jul,291.0,2.0,-1.0,0.0,unknown,1
41.0,admin.,married,tertiary,no,5426.0,yes,no,unknown,14.0,may,149.0,2.0,-1.0,0.0,unknown,1
30.0,admin.,single,tertiary,no,261.0,no,no,cellular,19.0,oct,233.0,1.0,137.0,20.0,failure,1
36.0,blue-collar,divorced,secondary,no,2843.0,no,no,cellular,12.0,feb,473.0,1.0,182.0,1.0,success,1
31.0,unemployed,single,primary,no,406.0,no,no,cellular,4.0,feb,736.0,1.0,-1.0,0.0,unknown,0
36.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,6.0,may,337.0,1.0,-1.0,0.0,unknown,1
38.0,management,single,tertiary,no,493.0,yes,no,cellular,11.0,may,553.0,1.0,367.0,7.0,failure,1
49.0,technician,married,secondary,no,5996.0,no,no,telephone,21.0,nov,345.0,2.0,-1.0,0.0,unknown,1
57.0,services,single,primary,no,3777.0,yes,no,telephone,13.0,may,65.0,2.0,-1.0,0.0,unknown,1
34.0,management,single,secondary,no,524.0,no,no,unknown,13.0,aug,9.0,1.0,-1.0,0.0,unknown,1
32.0,management,single,tertiary,no,574.0,yes,no,cellular,14.0,apr,259.0,2.0,145.0,3.0,failure,1
37.0,blue-collar,married,secondary,no,427.0,yes,yes,unknown,9.0,jun,371.0,3.0,-1.0,0.0,unknown,1
33.0,self-employed,married,tertiary,no,483.0,yes,no,cellular,3.0,feb,280.0,2.0,-1.0,0.0,unknown,1
56.0,unemployed,married,primary,no,3391.0,no,no,cellular,21.0,apr,243.0,1.0,-1.0,0.0,unknown,0
27.0,housemaid,married,primary,no,0.0,yes,no,cellular,23.0,jul,435.0,3.0,-1.0,0.0,unknown,1
21.0,student,single,secondary,no,2488.0,no,no,cellular,30.0,jun,258.0,6.0,169.0,3.0,success,0
58.0,management,married,tertiary,no,1517.0,yes,no,telephone,29.0,jul,7.0,5.0,-1.0,0.0,unknown,1
32.0,self-employed,married,secondary,no,217.0,yes,yes,cellular,15.0,jul,317.0,5.0,-1.0,0.0,unknown,1
33.0,blue-collar,single,secondary,no,22.0,no,no,cellular,30.0,jan,76.0,2.0,207.0,1.0,failure,1
25.0,student,single,secondary,no,331.0,no,no,telephone,26.0,aug,170.0,4.0,-1.0,0.0,unknown,0
25.0,technician,single,secondary,no,505.0,no,yes,cellular,17.0,nov,386.0,2.0,-1.0,0.0,unknown,0
30.0,services,married,secondary,no,1808.0,yes,no,cellular,18.0,may,83.0,2.0,-1.0,0.0,unknown,1
22.0,admin.,single,secondary,no,4111.0,no,yes,cellular,19.0,aug,65.0,1.0,-1.0,0.0,unknown,1
39.0,blue-collar,married,primary,no,52.0,no,no,cellular,13.0,aug,69.0,1.0,-1.0,0.0,unknown,1
46.0,management,divorced,tertiary,no,25.0,no,no,unknown,17.0,jun,564.0,2.0,-1.0,0.0,unknown,1
31.0,admin.,divorced,secondary,no,1890.0,yes,no,cellular,21.0,jul,588.0,1.0,-1.0,0.0,unknown,1
45.0,blue-collar,married,primary,no,419.0,no,no,cellular,18.0,aug,113.0,4.0,-1.0,0.0,unknown,1
32.0,technician,married,secondary,no,2693.0,yes,no,unknown,21.0,may,16.0,1.0,-1.0,0.0,unknown,1
36.0,blue-collar,married,secondary,no,-231.0,no,yes,cellular,15.0,jul,779.0,2.0,-1.0,0.0,unknown,1
51.0,management,single,tertiary,yes,-55.0,yes,no,cellular,11.0,may,281.0,2.0,266.0,6.0,failure,1
34.0,self-employed,single,tertiary,no,462.0,no,no,cellular,21.0,aug,1877.0,3.0,-1.0,0.0,unknown,0
24.0,unemployed,single,secondary,no,119.0,no,no,unknown,15.0,sep,51.0,1.0,-1.0,0.0,unknown,1
45.0,technician,single,secondary,no,586.0,no,yes,cellular,28.0,jul,32.0,3.0,-1.0,0.0,unknown,1
32.0,blue-collar,single,secondary,no,228.0,no,no,telephone,5.0,feb,176.0,1.0,288.0,3.0,failure,1
77.0,retired,divorced,tertiary,no,4659.0,no,no,cellular,14.0,apr,161.0,1.0,-1.0,0.0,unknown,0
41.0,blue-collar,married,primary,no,168.0,yes,no,cellular,18.0,nov,187.0,3.0,-1.0,0.0,unknown,1
37.0,blue-collar,married,primary,no,0.0,yes,no,unknown,26.0,may,24.0,1.0,-1.0,0.0,unknown,1
43.0,blue-collar,married,unknown,yes,-715.0,yes,no,unknown,30.0,may,67.0,3.0,-1.0,0.0,unknown,1
48.0,admin.,married,unknown,no,0.0,yes,no,cellular,8.0,may,85.0,1.0,168.0,2.0,failure,1
27.0,technician,single,secondary,no,769.0,yes,no,unknown,9.0,may,317.0,2.0,-1.0,0.0,unknown,1
33.0,management,single,tertiary,no,0.0,no,no,cellular,28.0,aug,236.0,10.0,-1.0,0.0,unknown,1
29.0,admin.,single,secondary,no,428.0,yes,yes,cellular,7.0,may,54.0,1.0,345.0,2.0,failure,1
34.0,management,single,tertiary,no,0.0,no,no,cellular,5.0,feb,71.0,1.0,-1.0,0.0,unknown,1
52.0,management,married,tertiary,no,-970.0,yes,no,cellular,4.0,feb,489.0,1.0,-1.0,0.0,unknown,0
60.0,management,married,unknown,no,6313.0,no,no,unknown,19.0,jun,39.0,2.0,-1.0,0.0,unknown,1
32.0,management,divorced,tertiary,no,948.0,no,no,cellular,12.0,aug,204.0,2.0,-1.0,0.0,unknown,1
32.0,management,single,tertiary,no,0.0,yes,no,cellular,22.0,jul,455.0,2.0,-1.0,0.0,unknown,1
56.0,services,divorced,unknown,no,1877.0,yes,no,unknown,30.0,may,86.0,1.0,-1.0,0.0,unknown,1
31.0,management,single,tertiary,no,874.0,yes,no,cellular,18.0,nov,190.0,2.0,-1.0,0.0,unknown,1
42.0,admin.,married,secondary,no,323.0,yes,yes,unknown,8.0,may,280.0,2.0,-1.0,0.0,unknown,1
35.0,management,married,tertiary,no,106.0,no,yes,cellular,11.0,aug,588.0,2.0,-1.0,0.0,unknown,1
56.0,retired,married,primary,no,1906.0,no,yes,unknown,19.0,jun,45.0,9.0,-1.0,0.0,unknown,1
48.0,technician,married,secondary,no,1152.0,yes,no,cellular,21.0,jul,168.0,5.0,-1.0,0.0,unknown,1
46.0,admin.,married,secondary,no,179.0,yes,no,cellular,29.0,jan,194.0,4.0,436.0,1.0,other,1
37.0,technician,single,unknown,no,391.0,yes,no,unknown,8.0,may,103.0,3.0,-1.0,0.0,unknown,1
41.0,entrepreneur,married,unknown,no,89.0,yes,no,unknown,6.0,may,333.0,2.0,-1.0,0.0,unknown,1
36.0,management,single,tertiary,no,442.0,yes,yes,cellular,29.0,jul,102.0,3.0,-1.0,0.0,unknown,1
45.0,unemployed,divorced,primary,yes,-249.0,yes,yes,unknown,1.0,jul,92.0,1.0,-1.0,0.0,unknown,1
55.0,entrepreneur,married,secondary,no,8104.0,no,no,cellular,6.0,feb,213.0,2.0,-1.0,0.0,unknown,1
39.0,technician,married,secondary,no,501.0,no,no,unknown,26.0,may,289.0,1.0,-1.0,0.0,unknown,1
35.0,technician,divorced,secondary,no,308.0,no,no,cellular,22.0,aug,77.0,2.0,-1.0,0.0,unknown,1
55.0,admin.,married,secondary,no,602.0,no,no,cellular,1.0,jun,324.0,3.0,90.0,2.0,success,0
55.0,technician,married,secondary,no,273.0,yes,no,cellular,29.0,jan,84.0,3.0,183.0,3.0,failure,1
27.0,self-employed,single,secondary,no,50.0,no,no,cellular,29.0,jan,168.0,1.0,-1.0,0.0,unknown,1
34.0,technician,married,secondary,no,1641.0,yes,no,cellular,17.0,apr,380.0,1.0,-1.0,0.0,unknown,1
34.0,blue-collar,married,tertiary,no,20.0,no,no,unknown,4.0,oct,10.0,1.0,-1.0,0.0,unknown,1
25.0,admin.,single,secondary,no,4590.0,yes,no,unknown,28.0,may,199.0,2.0,-1.0,0.0,unknown,1
41.0,admin.,single,secondary,no,-256.0,no,yes,unknown,9.0,may,35.0,3.0,-1.0,0.0,unknown,1
43.0,services,married,secondary,no,978.0,yes,yes,unknown,26.0,may,82.0,2.0,-1.0,0.0,unknown,1
28.0,management,single,tertiary,no,80.0,no,no,cellular,20.0,oct,676.0,2.0,146.0,2.0,failure,0
31.0,admin.,single,secondary,no,2104.0,yes,no,unknown,3.0,jun,455.0,1.0,-1.0,0.0,unknown,1
78.0,housemaid,married,secondary,no,499.0,no,no,telephone,16.0,mar,80.0,4.0,-1.0,0.0,unknown,1
45.0,blue-collar,divorced,secondary,no,1269.0,yes,no,cellular,29.0,jan,549.0,2.0,-1.0,0.0,unknown,1
48.0,technician,married,tertiary,no,310.0,no,no,unknown,6.0,may,135.0,1.0,-1.0,0.0,unknown,1
32.0,blue-collar,single,secondary,no,1143.0,yes,yes,cellular,10.0,jul,412.0,1.0,-1.0,0.0,unknown,1
42.0,technician,married,secondary,no,2980.0,no,no,unknown,20.0,jun,101.0,3.0,-1.0,0.0,unknown,1
37.0,management,single,tertiary,no,37.0,no,no,cellular,28.0,jan,253.0,2.0,-1.0,0.0,unknown,1
40.0,admin.,single,secondary,no,462.0,yes,yes,cellular,6.0,apr,272.0,1.0,335.0,4.0,other,1
32.0,admin.,married,secondary,no,1031.0,yes,no,cellular,17.0,jul,84.0,1.0,-1.0,0.0,unknown,1
42.0,management,married,tertiary,no,9009.0,no,no,cellular,20.0,nov,135.0,2.0,-1.0,0.0,unknown,1
43.0,admin.,married,secondary,no,-465.0,yes,yes,cellular,23.0,jul,166.0,1.0,-1.0,0.0,unknown,1
44.0,admin.,married,secondary,no,5181.0,yes,yes,cellular,31.0,jul,18.0,7.0,-1.0,0.0,unknown,1
37.0,admin.,married,secondary,no,176.0,yes,no,cellular,5.0,may,147.0,2.0,347.0,1.0,failure,1
37.0,unknown,married,unknown,no,1699.0,no,no,unknown,9.0,jun,63.0,1.0,-1.0,0.0,unknown,1
37.0,admin.,married,tertiary,no,0.0,yes,no,cellular,17.0,nov,65.0,2.0,119.0,1.0,failure,1
28.0,technician,single,tertiary,no,172.0,yes,yes,cellular,2.0,feb,194.0,2.0,-1.0,0.0,unknown,1
32.0,services,single,secondary,no,0.0,no,yes,cellular,11.0,jul,333.0,2.0,-1.0,0.0,unknown,1
34.0,admin.,single,secondary,no,6979.0,yes,no,cellular,15.0,may,14.0,5.0,-1.0,0.0,unknown,1
40.0,admin.,divorced,secondary,no,6.0,no,no,unknown,11.0,jun,140.0,1.0,-1.0,0.0,unknown,1
34.0,services,married,secondary,no,-62.0,yes,no,unknown,16.0,jun,109.0,3.0,-1.0,0.0,unknown,1
34.0,self-employed,married,tertiary,no,1972.0,yes,no,cellular,23.0,jul,61.0,2.0,-1.0,0.0,unknown,1
34.0,admin.,married,tertiary,no,899.0,yes,no,telephone,19.0,nov,377.0,3.0,7.0,4.0,success,1
37.0,services,single,secondary,no,21.0,yes,no,cellular,2.0,feb,96.0,1.0,271.0,2.0,other,1
36.0,technician,married,secondary,no,23.0,yes,no,cellular,8.0,may,152.0,2.0,347.0,1.0,failure,1
56.0,retired,married,secondary,no,-1206.0,yes,no,cellular,15.0,jun,382.0,2.0,-1.0,0.0,unknown,0
49.0,blue-collar,married,primary,no,0.0,yes,yes,telephone,23.0,jul,97.0,6.0,-1.0,0.0,unknown,1
33.0,self-employed,married,secondary,no,215.0,yes,no,cellular,29.0,jul,543.0,12.0,-1.0,0.0,unknown,1
30.0,management,single,tertiary,no,1372.0,no,no,cellular,20.0,nov,240.0,2.0,-1.0,0.0,unknown,1
36.0,services,married,secondary,no,1981.0,no,no,unknown,17.0,jun,48.0,2.0,-1.0,0.0,unknown,1
23.0,student,single,secondary,no,9216.0,no,no,cellular,5.0,jun,471.0,2.0,-1.0,0.0,unknown,1
57.0,retired,divorced,secondary,no,39.0,yes,no,cellular,30.0,jul,354.0,3.0,-1.0,0.0,unknown,1
27.0,blue-collar,single,secondary,no,5563.0,yes,no,unknown,30.0,may,435.0,2.0,-1.0,0.0,unknown,1
38.0,services,married,secondary,no,1.0,no,yes,cellular,21.0,nov,152.0,2.0,-1.0,0.0,unknown,1
42.0,technician,married,tertiary,no,782.0,no,no,cellular,3.0,apr,285.0,1.0,-1.0,0.0,unknown,1
75.0,retired,married,secondary,no,3771.0,no,no,telephone,15.0,apr,185.0,1.0,181.0,2.0,success,0
34.0,technician,single,tertiary,no,992.0,yes,no,cellular,4.0,may,301.0,1.0,88.0,2.0,success,1
48.0,technician,married,secondary,no,1526.0,no,no,cellular,6.0,aug,273.0,2.0,-1.0,0.0,unknown,1
35.0,technician,single,tertiary,no,2658.0,yes,no,cellular,19.0,aug,768.0,2.0,141.0,3.0,failure,0
39.0,management,divorced,tertiary,no,1315.0,yes,no,cellular,19.0,nov,1337.0,4.0,126.0,1.0,failure,1
29.0,blue-collar,single,tertiary,no,455.0,no,no,telephone,21.0,apr,403.0,1.0,-1.0,0.0,unknown,0
45.0,technician,single,tertiary,no,0.0,yes,no,cellular,18.0,nov,139.0,2.0,-1.0,0.0,unknown,1
42.0,technician,married,secondary,no,2030.0,yes,yes,cellular,9.0,jul,196.0,1.0,-1.0,0.0,unknown,1
29.0,technician,married,secondary,no,1599.0,yes,no,cellular,8.0,jul,115.0,1.0,61.0,1.0,failure,1
38.0,services,single,secondary,no,-196.0,yes,no,cellular,2.0,feb,60.0,1.0,271.0,1.0,failure,1
56.0,retired,married,secondary,no,1333.0,no,no,cellular,28.0,aug,17.0,14.0,-1.0,0.0,unknown,1
36.0,technician,single,secondary,no,9149.0,yes,no,cellular,13.0,aug,141.0,3.0,-1.0,0.0,unknown,1
25.0,blue-collar,single,secondary,no,-350.0,yes,no,unknown,23.0,jun,95.0,3.0,-1.0,0.0,unknown,1
38.0,technician,married,tertiary,no,432.0,yes,no,cellular,15.0,may,10.0,2.0,373.0,1.0,other,1
57.0,self-employed,married,secondary,no,11494.0,no,no,cellular,19.0,nov,198.0,1.0,-1.0,0.0,unknown,1
31.0,management,married,tertiary,yes,-253.0,no,no,cellular,12.0,aug,220.0,4.0,-1.0,0.0,unknown,1
42.0,management,married,tertiary,no,372.0,yes,no,cellular,3.0,aug,654.0,2.0,-1.0,0.0,unknown,0
45.0,technician,married,secondary,no,1410.0,no,no,cellular,11.0,aug,71.0,2.0,-1.0,0.0,unknown,1
30.0,blue-collar,married,secondary,no,975.0,yes,no,cellular,13.0,may,256.0,2.0,351.0,2.0,failure,1
49.0,blue-collar,married,primary,no,305.0,yes,yes,telephone,10.0,jul,834.0,10.0,-1.0,0.0,unknown,1
49.0,services,married,secondary,no,400.0,no,no,cellular,21.0,aug,151.0,3.0,-1.0,0.0,unknown,1
53.0,retired,married,tertiary,no,-22.0,yes,no,cellular,31.0,jul,20.0,3.0,-1.0,0.0,unknown,1
37.0,technician,married,secondary,no,4030.0,yes,no,unknown,26.0,may,178.0,5.0,-1.0,0.0,unknown,1
49.0,blue-collar,married,primary,no,365.0,no,no,unknown,26.0,may,59.0,2.0,-1.0,0.0,unknown,1
41.0,self-employed,married,primary,no,204.0,no,no,cellular,13.0,aug,111.0,7.0,-1.0,0.0,unknown,1
54.0,management,married,primary,no,1691.0,yes,no,cellular,20.0,nov,186.0,1.0,-1.0,0.0,unknown,1
32.0,services,single,secondary,no,406.0,yes,no,unknown,6.0,may,227.0,1.0,-1.0,0.0,unknown,1
33.0,technician,married,secondary,no,-204.0,no,no,cellular,15.0,may,297.0,3.0,-1.0,0.0,unknown,1
33.0,technician,married,secondary,no,359.0,yes,no,cellular,20.0,apr,210.0,1.0,242.0,1.0,other,1
36.0,blue-collar,married,primary,no,123.0,yes,no,cellular,18.0,may,9.0,1.0,-1.0,0.0,unknown,1
35.0,technician,married,tertiary,no,0.0,yes,yes,cellular,23.0,sep,112.0,1.0,62.0,6.0,other,1
52.0,unknown,married,secondary,no,142.0,no,no,cellular,25.0,aug,112.0,6.0,-1.0,0.0,unknown,1
40.0,entrepreneur,married,tertiary,no,3571.0,no,no,unknown,9.0,jun,222.0,3.0,-1.0,0.0,unknown,1
44.0,technician,single,secondary,no,33.0,yes,no,cellular,13.0,may,195.0,3.0,351.0,10.0,failure,1
45.0,blue-collar,single,secondary,no,0.0,yes,no,cellular,26.0,jul,768.0,2.0,91.0,5.0,success,1
30.0,student,single,secondary,no,3096.0,no,no,cellular,26.0,jan,123.0,1.0,-1.0,0.0,unknown,1
48.0,technician,divorced,secondary,yes,20.0,no,no,cellular,27.0,aug,145.0,3.0,-1.0,0.0,unknown,1
33.0,blue-collar,married,secondary,no,3576.0,yes,no,cellular,2.0,apr,124.0,1.0,308.0,2.0,other,1
