V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,class
1.72,55309.0,42.0,2.02,25236.0,0.495,75.8,94.0,4.56,8.5,52.5,v1,0.699,79.2,5522.0,795.0,0.871,5.95,0.66,446.0,26.4,0.23,1.84,73.8,8.56,0.639,0.376,0.7,9.04,0.44,v1,57.9,0.61,36.7,63.0,0.65,64602.0,7.4,0.686,v3,0
1.66,47408.0,46.6,1.95,45303.0,0.421,71.8,52.0,4.67,9.3,52.6,v1,0.679,82.3,5299.0,742.0,0.613,5.6,0.17,733.0,34.1,0.45,1.01,98.5,6.78,0.1,0.328,0.95,9.47,0.33,v2,58.7,0.34,60.0,61.8,0.28,87468.0,7.63,0.712,v1,0
2.45,53777.0,26.9,2.07,78551.0,0.167,83.0,67.0,4.29,3.4,52.8,v2,0.649,96.1,6254.0,745.0,0.405,5.94,0.39,600.0,29.8,0.43,1.47,82.7,7.07,0.179,0.625,0.88,9.04,0.27,v2,56.7,0.57,41.7,67.2,0.51,31150.0,6.89,0.771,v2,1
1.77,46865.0,39.3,3.15,24404.0,0.498,79.7,68.0,4.54,6.7,50.2,v2,0.593,96.8,5481.0,772.0,0.485,4.45,0.5,598.0,27.3,0.39,2.57,82.3,7.02,0.542,0.337,0.69,9.6,0.26,v1,58.8,0.43,21.7,64.6,0.42,50605.0,6.62,0.737,v2,0
3.41,50792.0,31.8,0.65,19720.0,0.498,73.0,87.0,4.28,7.6,50.5,v1,0.683,53.7,4332.0,803.0,0.248,5.95,0.68,608.0,30.0,0.27,1.77,79.8,6.94,0.162,0.575,0.81,9.11,0.6,v1,59.6,0.39,18.2,62.1,0.59,19029.0,7.08,0.759,v1,1
1.57,54873.0,51.0,2.0,36339.0,0.172,77.7,94.0,4.64,5.1,51.7,v1,0.729,60.4,5762.0,754.0,0.565,6.05,0.18,665.0,23.9,0.18,4.09,92.2,6.95,0.946,0.51,0.77,9.35,0.39,v2,59.5,0.37,19.8,58.1,0.66,45915.0,8.66,0.703,v2,1
3.01,54942.0,18.9,1.97,22605.0,0.496,77.8,87.0,4.6,6.6,50.2,v1,0.676,55.7,6841.0,809.0,0.391,4.1,0.64,440.0,28.9,0.16,0.63,87.6,6.75,0.154,0.62,0.86,9.03,0.28,v2,62.2,0.45,20.0,60.0,0.51,14626.0,6.6,0.772,v3,0
1.36,54009.0,38.1,1.85,60072.0,0.315,79.1,92.0,4.5,7.6,50.2,v1,0.643,97.5,6785.0,754.0,0.614,6.0,0.45,626.0,26.6,0.46,2.51,86.1,7.06,0.359,0.543,0.86,9.13,0.61,v2,61.0,0.53,69.5,58.1,0.88,56713.0,7.07,0.76,v3,0
2.11,46200.0,36.6,1.88,37707.0,0.393,77.5,94.0,4.59,7.5,51.3,v2,0.656,81.3,6532.0,747.0,0.644,5.98,0.14,813.0,33.6,0.22,1.35,76.8,7.06,0.829,0.618,0.52,9.66,0.26,v2,59.2,0.41,61.7,56.1,0.45,39114.0,8.58,0.764,v3,0
2.99,50406.0,37.7,2.1,89322.0,0.17,74.0,52.0,4.37,7.2,50.2,v1,0.563,77.9,6620.0,763.0,0.817,4.64,0.71,606.0,33.7,0.17,2.02,86.0,7.05,0.768,0.331,0.85,9.13,0.39,v2,58.1,0.47,65.0,70.7,0.41,30694.0,7.45,0.805,v2,1
3.77,55378.0,49.9,3.2,58772.0,0.315,75.9,76.0,4.27,5.5,51.5,v2,0.692,86.3,6719.0,804.0,0.647,4.9,0.69,769.0,26.0,0.41,2.08,93.2,6.9,0.247,0.358,0.47,9.04,0.26,v1,60.6,0.44,70.1,63.8,0.54,49082.0,8.43,0.804,v2,0
3.49,53661.0,36.8,0.97,58511.0,0.153,79.0,74.0,4.55,9.0,51.2,v2,0.691,63.5,6529.0,765.0,0.47,4.24,0.66,600.0,24.2,0.25,3.48,79.7,6.83,0.212,0.349,0.9,9.53,0.35,v1,61.9,0.63,49.4,68.3,0.74,53026.0,6.58,0.694,v2,0
3.72,55125.0,15.4,1.53,35031.0,0.274,78.0,61.0,4.59,7.9,50.2,v2,0.646,82.1,6742.0,747.0,0.54,3.15,0.58,822.0,25.2,0.22,4.17,69.8,8.7,0.14,0.466,0.45,9.21,0.35,v2,50.3,0.35,36.6,58.0,0.83,69583.0,6.32,0.754,v3,1
3.38,53622.0,13.9,2.5,44639.0,0.498,78.5,67.0,4.59,4.9,50.2,v2,0.648,75.5,4738.0,794.0,0.63,5.08,0.59,346.0,28.5,0.19,3.57,98.9,6.95,0.679,0.622,0.83,9.71,0.44,v1,47.8,0.42,66.1,56.2,0.89,27772.0,6.51,0.81,v3,1
3.54,48749.0,16.8,2.07,85654.0,0.228,75.5,69.0,4.34,4.5,53.1,v1,0.694,81.8,4975.0,743.0,0.664,3.51,0.54,818.0,24.9,0.46,2.05,85.9,7.4,0.597,0.328,0.79,9.69,0.6,v2,58.8,0.43,24.9,68.9,0.89,66645.0,6.2,0.72,v3,0
1.49,49448.0,38.8,3.23,95720.0,0.487,77.4,62.0,4.29,4.5,50.6,v2,0.802,86.6,4163.0,806.0,0.691,6.35,0.56,791.0,30.7,0.3,3.72,71.8,6.94,0.128,0.566,0.72,9.1,0.27,v2,56.1,0.41,18.4,70.2,0.4,14705.0,7.53,0.758,v2,0
1.69,45999.0,25.9,2.11,59743.0,0.382,79.5,52.0,4.61,8.6,51.0,v1,0.675,47.7,7280.0,746.0,0.649,6.07,0.36,816.0,34.0,0.33,3.96,85.6,6.97,0.151,0.35,0.84,9.07,0.6,v1,59.8,0.46,73.2,60.3,0.33,56861.0,7.57,0.769,v2,1
2.23,47465.0,13.2,1.85,28997.0,0.348,77.7,94.0,4.69,5.7,50.2,v1,0.682,99.0,6636.0,767.0,0.233,3.75,0.48,816.0,24.0,0.3,3.09,71.0,6.81,0.684,0.446,0.9,9.11,0.41,v1,59.6,0.48,19.4,56.8,0.86,76628.0,6.59,0.748,v1,0
3.54,52506.0,23.5,0.3,57867.0,0.496,81.4,68.0,4.65,8.7,52.5,v2,0.672,94.5,7104.0,804.0,0.243,4.63,0.15,812.0,30.8,0.16,0.66,82.7,6.89,0.928,0.555,0.48,9.07,0.42,v2,57.7,0.42,32.2,61.4,0.48,66068.0,6.74,0.723,v1,1
2.84,53698.0,39.9,3.37,84791.0,0.151,79.5,94.0,4.62,8.1,50.7,v1,0.53,78.7,7430.0,763.0,0.802,4.66,0.18,603.0,33.3,0.24,1.07,94.7,7.99,0.465,0.338,0.89,9.38,0.3,v2,52.9,0.61,18.0,62.8,0.64,17097.0,7.24,0.739,v1,1
3.82,47416.0,26.0,1.83,58676.0,0.249,79.0,62.0,4.62,8.3,54.0,v1,0.784,99.0,5699.0,755.0,0.41,4.76,0.68,821.0,26.3,0.34,3.72,73.2,6.9,0.852,0.462,0.93,9.78,0.42,v2,47.5,0.45,63.3,70.9,0.61,16805.0,6.64,0.701,v1,0
3.46,54014.0,39.8,1.99,90587.0,0.316,75.1,94.0,4.6,3.7,50.2,v1,0.665,37.5,6208.0,745.0,0.242,4.99,0.67,674.0,25.6,0.37,3.78,80.4,6.78,0.193,0.442,0.58,9.4,0.36,v1,53.0,0.44,70.6,71.9,0.22,55647.0,6.59,0.754,v3,0
2.45,47196.0,32.8,3.15,46051.0,0.315,76.4,94.0,4.47,4.9,50.2,v1,0.691,43.8,7244.0,746.0,0.648,6.13,0.39,816.0,26.1,0.46,0.66,87.8,7.39,0.494,0.625,0.98,9.11,0.62,v2,56.1,0.45,59.9,56.9,0.69,39249.0,6.78,0.832,v2,0
3.45,56001.0,23.9,2.0,93174.0,0.495,73.3,74.0,4.65,8.5,50.2,v2,0.589,98.7,6432.0,761.0,0.642,4.67,0.55,619.0,26.4,0.46,1.28,71.4,6.75,0.21,0.625,0.89,9.32,0.62,v1,55.9,0.51,23.5,64.0,0.4,76974.0,6.27,0.839,v3,1
2.56,46587.0,25.2,1.65,21946.0,0.164,73.3,83.0,4.39,7.5,50.2,v1,0.765,86.3,6324.0,762.0,0.828,5.88,0.69,514.0,25.3,0.15,2.56,94.0,6.96,0.844,0.617,0.88,9.19,0.62,v1,51.8,0.43,86.9,68.8,0.87,64973.0,7.54,0.765,v1,0
3.75,51858.0,41.3,1.84,57544.0,0.172,77.9,81.0,4.6,7.9,51.5,v2,0.491,99.0,4959.0,761.0,0.567,6.21,0.71,610.0,27.5,0.35,3.63,86.0,6.69,0.121,0.585,0.92,9.22,0.43,v2,51.6,0.45,19.1,61.8,0.85,54581.0,6.31,0.741,v3,0
3.1,47666.0,51.0,0.81,78380.0,0.164,72.9,86.0,4.43,3.7,52.0,v1,0.641,96.0,4380.0,796.0,0.267,3.3,0.64,598.0,28.2,0.47,0.69,92.1,7.18,0.335,0.611,0.93,9.06,0.62,v1,60.7,0.42,55.0,64.7,0.82,71053.0,6.6,0.72,v2,1
1.7,56076.0,27.8,0.31,91105.0,0.353,78.9,88.0,4.43,8.2,50.5,v2,0.63,62.5,7141.0,747.0,0.245,5.51,0.41,599.0,28.2,0.41,3.66,78.4,7.36,0.481,0.53,0.73,9.06,0.62,v1,60.1,0.39,19.0,61.5,0.48,21993.0,7.86,0.768,v1,0
2.9,46180.0,45.5,2.03,86151.0,0.225,77.6,89.0,4.65,8.1,50.7,v1,0.646,42.9,4348.0,803.0,0.335,6.03,0.38,818.0,28.3,0.23,0.41,75.3,6.71,0.722,0.509,0.62,9.43,0.24,v2,60.3,0.45,18.8,59.9,0.42,23278.0,7.07,0.724,v3,0
3.42,56697.0,28.7,2.31,83813.0,0.157,76.4,86.0,4.65,9.0,52.8,v1,0.76,75.4,7409.0,809.0,0.43,5.72,0.13,298.0,26.3,0.41,3.79,82.5,6.82,0.538,0.476,0.42,9.88,0.5,v2,55.7,0.45,61.6,59.3,0.64,85297.0,6.58,0.695,v1,0
3.45,54942.0,38.2,1.92,82030.0,0.316,78.0,76.0,4.45,4.1,50.2,v2,0.661,84.5,7510.0,745.0,0.319,5.98,0.14,228.0,24.0,0.22,0.51,63.1,8.53,0.753,0.467,0.93,9.05,0.26,v1,60.4,0.47,67.4,55.6,0.6,17210.0,7.47,0.698,v2,1
3.41,52831.0,51.3,1.89,49052.0,0.353,77.3,61.0,4.51,4.2,50.2,v1,0.742,94.5,6147.0,742.0,0.851,3.17,0.44,599.0,24.0,0.45,1.05,66.8,6.7,0.391,0.353,0.95,8.64,0.34,v2,48.0,0.39,64.7,72.8,0.75,53807.0,7.92,0.766,v3,1
3.88,55119.0,36.4,2.01,20849.0,0.147,73.6,81.0,4.63,3.9,50.3,v2,0.645,80.3,5508.0,805.0,0.512,5.51,0.62,739.0,28.5,0.26,3.0,96.2,7.11,0.311,0.526,0.9,9.1,0.4,v1,61.4,0.58,88.1,63.0,0.25,29525.0,6.9,0.772,v3,0
2.53,46224.0,21.7,2.05,77092.0,0.211,77.5,88.0,4.63,8.0,51.7,v1,0.66,68.0,7243.0,763.0,0.65,5.99,0.72,604.0,28.3,0.36,3.06,82.9,7.48,0.139,0.528,0.65,9.11,0.28,v1,49.5,0.53,18.9,70.5,0.7,29092.0,6.58,0.725,v3,0
2.02,53813.0,26.4,2.3,75665.0,0.498,77.6,94.0,4.35,4.0,53.5,v2,0.683,97.9,5320.0,752.0,0.463,5.61,0.45,604.0,25.1,0.21,3.38,65.4,6.87,0.292,0.384,0.8,9.57,0.35,v2,59.8,0.59,28.7,70.4,0.88,72567.0,7.99,0.75,v2,0
2.95,48637.0,28.4,2.06,54049.0,0.498,78.5,59.0,4.58,3.8,55.0,v1,0.49,85.7,6713.0,806.0,0.252,6.35,0.56,823.0,32.9,0.23,2.83,80.0,7.23,0.239,0.617,0.94,9.27,0.55,v2,60.2,0.36,42.3,66.7,0.64,59006.0,7.52,0.702,v2,0
2.7,47450.0,43.8,2.29,96494.0,0.151,73.3,73.0,4.66,6.4,53.0,v2,0.696,88.7,4897.0,807.0,0.468,3.84,0.41,804.0,30.2,0.46,2.82,80.2,6.96,0.314,0.518,0.85,9.27,0.32,v1,58.3,0.55,71.4,71.5,0.86,35148.0,8.54,0.74,v1,0
3.38,50534.0,27.4,1.84,79677.0,0.495,83.2,68.0,4.34,9.2,54.6,v2,0.651,84.0,5038.0,806.0,0.41,4.18,0.61,606.0,28.9,0.23,4.1,90.9,8.3,0.168,0.626,0.98,8.25,0.62,v2,61.4,0.44,64.1,58.4,0.64,39600.0,7.76,0.805,v3,0
2.0,46655.0,35.9,0.76,78793.0,0.491,78.7,66.0,4.62,8.7,50.8,v2,0.727,96.0,6025.0,747.0,0.737,3.44,0.69,819.0,25.7,0.2,0.79,80.3,6.75,0.739,0.613,0.97,9.12,0.34,v2,50.5,0.42,77.3,62.6,0.73,58426.0,7.07,0.712,v3,0
3.79,53291.0,49.2,2.19,87832.0,0.316,77.9,71.0,4.7,3.8,50.5,v2,0.679,76.7,5139.0,764.0,0.595,6.32,0.66,391.0,32.1,0.22,1.22,95.8,7.34,0.152,0.604,0.84,9.08,0.6,v2,53.3,0.57,69.1,72.2,0.65,29576.0,6.41,0.745,v1,0
3.56,53543.0,41.5,2.65,21799.0,0.496,76.1,94.0,4.59,5.8,55.9,v1,0.645,95.4,6487.0,762.0,0.64,3.49,0.73,818.0,26.4,0.19,1.73,83.9,7.0,0.84,0.621,0.66,9.34,0.27,v2,59.2,0.57,21.9,57.0,0.54,30159.0,6.24,0.688,v1,0
2.55,56046.0,51.2,2.06,23009.0,0.172,83.3,67.0,4.54,8.0,54.0,v1,0.65,91.7,6751.0,757.0,0.883,3.17,0.72,607.0,34.0,0.35,1.41,98.5,7.02,0.269,0.47,0.93,9.76,0.44,v1,47.8,0.35,70.0,70.4,0.77,68644.0,7.32,0.819,v2,0
3.07,47855.0,41.7,1.83,81875.0,0.168,79.2,55.0,4.26,7.1,52.7,v2,0.864,81.7,4266.0,801.0,0.645,3.88,0.48,287.0,26.2,0.2,0.52,95.8,6.76,0.145,0.599,0.56,9.44,0.26,v1,61.2,0.5,18.0,65.0,0.26,56148.0,6.29,0.806,v1,1
2.32,46075.0,28.7,2.19,57601.0,0.315,82.8,88.0,4.69,5.9,51.8,v1,0.748,76.3,5270.0,807.0,0.646,4.78,0.56,813.0,28.7,0.17,2.68,67.9,7.06,0.623,0.479,0.41,9.72,0.43,v2,49.8,0.45,74.8,60.3,0.41,14887.0,7.07,0.793,v2,0
2.48,54125.0,28.5,2.55,87236.0,0.196,73.2,70.0,4.68,5.7,52.3,v1,0.669,93.9,7466.0,761.0,0.645,5.62,0.52,703.0,24.4,0.37,2.99,79.7,7.27,0.233,0.483,0.86,9.46,0.33,v1,58.7,0.53,72.6,60.6,0.51,23392.0,6.66,0.74,v1,0
2.46,52777.0,27.1,2.08,21811.0,0.315,76.6,56.0,4.55,3.5,52.9,v1,0.659,43.6,4228.0,808.0,0.459,6.29,0.49,761.0,31.7,0.28,4.06,83.5,7.06,0.415,0.623,0.57,9.31,0.44,v1,47.3,0.4,70.9,71.9,0.89,38003.0,6.6,0.837,v1,0
3.58,53385.0,21.7,2.46,37594.0,0.169,78.1,70.0,4.41,6.8,50.2,v2,0.654,97.1,5076.0,802.0,0.62,4.66,0.35,597.0,29.4,0.28,3.45,83.6,7.32,0.56,0.35,0.91,9.07,0.62,v1,49.3,0.43,30.8,58.6,0.56,21018.0,7.44,0.737,v2,0
1.45,53409.0,41.3,2.13,43691.0,0.151,78.1,68.0,4.66,5.2,50.2,v2,0.636,76.5,6025.0,804.0,0.71,4.35,0.18,409.0,33.1,0.2,2.01,96.4,6.95,0.195,0.366,0.9,9.58,0.25,v1,54.5,0.34,62.7,69.8,0.41,41990.0,6.29,0.765,v1,0
1.9,56050.0,45.3,1.92,91362.0,0.158,79.1,93.0,4.6,6.1,50.2,v2,0.863,95.2,6014.0,810.0,0.642,3.91,0.14,565.0,28.8,0.39,3.77,73.9,6.97,0.548,0.554,0.84,9.36,0.23,v1,62.2,0.4,60.5,55.2,0.42,52447.0,7.06,0.758,v3,0
2.71,55858.0,13.0,2.08,23039.0,0.495,73.1,93.0,4.63,9.0,52.9,v2,0.623,88.4,6444.0,764.0,0.246,6.23,0.72,599.0,24.8,0.27,3.64,75.0,8.28,0.171,0.572,0.59,9.76,0.31,v2,59.5,0.35,36.0,64.5,0.53,52419.0,6.53,0.755,v2,0
3.31,46484.0,29.8,2.73,20954.0,0.165,77.7,86.0,4.61,8.5,54.8,v2,0.66,88.8,6715.0,804.0,0.739,5.7,0.13,641.0,23.9,0.47,1.87,97.5,6.95,0.257,0.487,0.47,9.05,0.25,v2,60.0,0.45,40.4,54.8,0.44,57629.0,7.4,0.844,v3,0
1.46,54562.0,50.6,1.93,24146.0,0.315,74.0,94.0,4.63,3.7,51.7,v2,0.692,85.5,7022.0,751.0,0.621,6.29,0.36,630.0,28.3,0.19,2.21,84.8,8.69,0.546,0.623,0.7,8.88,0.37,v2,56.7,0.45,49.7,62.0,0.86,58027.0,7.56,0.718,v3,0
1.99,56602.0,25.9,1.84,82556.0,0.315,77.9,92.0,4.66,9.4,50.2,v2,0.687,58.3,6982.0,787.0,0.251,3.62,0.72,606.0,23.9,0.22,1.62,82.5,8.54,0.109,0.432,0.61,8.63,0.29,v1,48.5,0.45,18.7,66.2,0.3,55444.0,6.5,0.727,v2,0
2.26,52871.0,28.8,2.41,20907.0,0.496,74.9,65.0,4.62,7.9,50.2,v2,0.608,97.8,6712.0,749.0,0.236,5.93,0.15,811.0,24.1,0.45,3.43,65.5,8.08,0.489,0.348,0.85,9.57,0.26,v2,50.7,0.42,19.6,62.8,0.25,56884.0,7.35,0.768,v2,0
3.01,54993.0,51.0,1.84,23902.0,0.172,72.5,89.0,4.63,8.8,52.0,v1,0.697,37.3,5500.0,801.0,0.25,5.92,0.36,811.0,26.3,0.3,2.43,93.8,6.91,0.275,0.474,0.98,9.13,0.36,v1,61.7,0.54,50.5,54.8,0.33,53441.0,7.92,0.727,v2,0
1.65,53257.0,39.1,1.83,65294.0,0.409,73.7,68.0,4.47,9.4,50.2,v2,0.605,74.3,6930.0,787.0,0.338,5.57,0.42,598.0,32.2,0.26,3.26,76.2,7.05,0.172,0.564,0.49,9.03,0.51,v1,59.3,0.45,21.0,72.2,0.82,70601.0,8.31,0.759,v2,0
3.75,51739.0,27.5,2.87,19570.0,0.429,77.7,68.0,4.57,4.7,50.2,v1,0.646,93.1,7230.0,760.0,0.65,6.07,0.55,291.0,29.1,0.36,2.34,80.4,8.0,0.83,0.625,0.67,9.1,0.25,v1,57.2,0.42,75.9,58.2,0.79,34117.0,6.34,0.703,v3,0
3.71,55617.0,11.6,1.85,58599.0,0.496,71.2,58.0,4.6,3.4,52.1,v1,0.664,95.3,6810.0,761.0,0.269,5.47,0.17,819.0,29.5,0.21,1.67,82.7,7.02,0.278,0.365,0.57,9.58,0.34,v1,61.3,0.42,61.8,58.5,0.27,52713.0,7.05,0.721,v2,0
3.72,46313.0,19.9,1.85,20275.0,0.495,78.2,80.0,4.51,8.1,50.2,v2,0.508,78.4,5945.0,786.0,0.643,3.97,0.64,820.0,28.6,0.22,2.84,83.6,6.72,0.855,0.555,0.95,9.81,0.32,v1,53.5,0.55,59.9,60.1,0.42,17996.0,6.2,0.685,v1,0
2.73,54237.0,37.4,2.25,83476.0,0.265,74.0,68.0,4.29,8.8,52.3,v1,0.864,74.2,5024.0,762.0,0.642,6.01,0.39,812.0,25.2,0.25,0.59,87.7,6.69,0.607,0.468,0.52,9.48,0.37,v2,58.3,0.62,24.8,60.3,0.37,17397.0,8.31,0.764,v1,1
3.61,54889.0,40.0,2.69,57909.0,0.496,78.2,68.0,4.59,5.5,51.9,v1,0.695,85.5,5434.0,747.0,0.752,6.1,0.65,812.0,33.6,0.23,2.23,78.8,6.88,0.228,0.596,0.85,9.29,0.41,v2,48.4,0.53,83.5,69.3,0.78,22512.0,7.57,0.703,v2,0
3.03,52924.0,39.7,2.04,93537.0,0.154,83.8,80.0,4.65,8.7,50.2,v1,0.864,35.5,6317.0,773.0,0.235,6.14,0.3,645.0,30.6,0.35,1.33,83.2,6.73,0.688,0.607,0.71,9.08,0.33,v2,60.2,0.62,83.2,60.2,0.59,59218.0,7.37,0.812,v1,0
3.81,46086.0,37.9,1.85,61626.0,0.316,79.7,68.0,4.26,5.0,51.9,v1,0.6,99.1,5097.0,782.0,0.604,6.32,0.59,823.0,27.2,0.3,1.66,81.0,6.99,0.236,0.575,0.92,8.55,0.3,v1,60.1,0.61,74.3,68.2,0.89,59551.0,7.03,0.77,v3,0
3.5,54879.0,51.4,0.51,23172.0,0.489,78.4,65.0,4.24,5.9,50.2,v1,0.663,94.7,6660.0,761.0,0.565,6.12,0.36,773.0,24.4,0.27,1.16,84.8,7.03,0.716,0.431,0.44,9.38,0.22,v1,59.9,0.34,73.8,60.8,0.71,83222.0,7.56,0.799,v2,0
3.67,49393.0,39.4,2.19,20696.0,0.498,78.0,67.0,4.68,8.5,53.0,v2,0.613,96.9,5377.0,803.0,0.24,3.0,0.39,813.0,33.0,0.44,3.81,78.9,6.93,0.124,0.345,0.62,9.44,0.43,v1,50.9,0.46,18.8,59.0,0.77,58721.0,6.78,0.732,v2,0
3.49,53595.0,39.0,1.26,59363.0,0.166,76.5,88.0,4.55,6.3,54.2,v2,0.688,34.0,6054.0,775.0,0.509,5.3,0.41,503.0,25.4,0.27,3.67,79.2,7.02,0.5,0.469,0.86,9.22,0.27,v1,60.1,0.52,59.7,72.2,0.76,50588.0,7.23,0.739,v1,1
1.3,50007.0,25.9,2.88,48180.0,0.213,79.4,67.0,4.54,7.2,50.2,v2,0.655,89.1,7207.0,780.0,0.874,3.46,0.52,598.0,26.2,0.32,2.92,91.7,7.06,0.262,0.341,0.89,9.11,0.27,v2,50.7,0.38,19.3,58.1,0.49,14196.0,7.33,0.832,v3,1
2.33,52877.0,25.8,2.23,20002.0,0.408,76.2,72.0,4.63,7.0,50.2,v2,0.646,96.5,4502.0,744.0,0.239,6.37,0.63,603.0,34.1,0.32,0.93,93.4,7.8,0.618,0.361,0.84,9.65,0.62,v2,54.7,0.63,61.3,71.8,0.23,58444.0,6.58,0.758,v3,0
1.71,53651.0,51.3,2.04,24076.0,0.168,77.5,71.0,4.53,4.1,52.8,v1,0.686,65.6,7241.0,754.0,0.502,6.13,0.13,784.0,27.1,0.45,1.58,74.5,6.72,0.238,0.335,0.66,9.26,0.36,v1,48.7,0.44,20.5,61.1,0.61,17457.0,6.6,0.742,v3,0
2.35,53630.0,41.0,0.56,95228.0,0.316,73.5,86.0,4.34,6.7,51.8,v1,0.856,96.8,5028.0,805.0,0.321,6.17,0.68,815.0,28.6,0.25,4.01,86.2,7.68,0.204,0.389,0.51,9.11,0.24,v1,50.8,0.5,59.9,64.9,0.72,58516.0,6.89,0.696,v3,0
