V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,class
0.0,4.0,v4,v4,0.45,v2,1.0,0.0,v1,3.0,37526.0,v2,v1,v1,v2,0.2,290.0,37.1,v2,53.0,72.1,0.945,233.0,0.0,v1,1.0,441.0,1.0,0.942,847.0,v2,0.618,607.0,v3,4010.0,0.136,v1,v1,v3,v2,1.0,6231.0,3.0,v4,8.18,0.0,v1,v2,v2,1.0,v5,1.0,7.15,1.0,v1,v4,v3,v3,53035.0,6277.0,24.0,1.0,38.3,v3,1.0,v2,19849.0,v4,v4,6.65,2.0,7039.0,0.29,6939.0,0.0,71.0,79.6,2.0,v5,1.0,v2,6.34,v2,v2,46.3,4.56,0.0,412.0,v5,v1,1.0,v2,v1,0.0,6078.0,v3,v1,v5,v2,v5,1
0.0,2.0,v6,v4,0.41,v2,1.0,2.0,v1,1.0,71929.0,v3,v1,v4,v4,0.25,861.0,32.4,v1,50.0,78.9,0.836,196.0,3.0,v4,0.0,482.0,4.0,0.932,880.0,v1,0.545,620.0,v1,3998.0,0.327,v1,v2,v2,v2,1.0,6373.0,0.0,v1,8.85,1.0,v2,v3,v3,1.0,v3,3.0,3.75,1.0,v5,v4,v2,v1,68766.0,7011.0,79.2,0.0,60.2,v2,2.0,v2,15037.0,v1,v1,6.97,2.0,6841.0,0.15,2338.0,2.0,63.0,79.5,3.0,v3,0.0,v4,6.36,v1,v2,45.3,7.74,1.0,900.0,v6,v2,1.0,v2,v1,0.0,5810.0,v5,v2,v5,v1,v4,1
1.0,2.0,v5,v4,0.4,v1,0.0,1.0,v1,1.0,35523.0,v1,v1,v3,v1,0.15,737.0,28.6,v1,43.0,74.8,0.926,232.0,2.0,v3,0.0,312.0,3.0,0.928,833.0,v1,0.632,650.0,v6,4015.0,0.916,v5,v4,v5,v1,0.0,6401.0,3.0,v2,7.28,3.0,v4,v3,v3,0.0,v5,0.0,6.88,1.0,v1,v2,v1,v1,60454.0,6376.0,50.9,0.0,29.0,v4,0.0,v1,15847.0,v3,v3,5.58,1.0,7336.0,0.19,5186.0,0.0,70.0,79.7,5.0,v5,0.0,v1,3.63,v1,v1,44.5,7.35,0.0,438.0,v4,v3,1.0,v1,v1,0.0,5533.0,v3,v2,v3,v2,v3,0
1.0,3.0,v5,v3,0.49,v2,1.0,1.0,v2,3.0,71926.0,v3,v1,v4,v6,0.47,830.0,37.2,v2,37.0,78.3,0.84,210.0,4.0,v1,0.0,425.0,2.0,0.926,812.0,v1,0.646,604.0,v4,5268.0,0.166,v1,v2,v2,v2,0.0,6209.0,2.0,v4,8.75,0.0,v6,v2,v2,0.0,v1,1.0,3.78,1.0,v2,v5,v2,v1,54738.0,6271.0,50.2,0.0,30.2,v5,2.0,v1,20166.0,v3,v2,6.73,3.0,6585.0,0.44,3097.0,2.0,73.0,81.7,1.0,v4,0.0,v4,6.52,v3,v1,44.9,4.85,1.0,437.0,v3,v3,1.0,v2,v2,0.0,5069.0,v5,v1,v2,v2,v2,1
1.0,0.0,v1,v3,0.05,v2,0.0,3.0,v1,2.0,71932.0,v2,v1,v5,v5,0.39,525.0,37.2,v1,54.0,70.1,0.913,239.0,0.0,v3,1.0,438.0,2.0,0.927,545.0,v2,0.451,635.0,v5,5266.0,0.183,v3,v4,v4,v1,2.0,6759.0,3.0,v5,7.46,1.0,v6,v1,v4,2.0,v3,1.0,7.36,1.0,v3,v3,v1,v1,62801.0,6866.0,54.6,0.0,30.6,v5,0.0,v2,19919.0,v3,v4,6.58,3.0,6996.0,0.35,4152.0,1.0,68.0,82.9,2.0,v2,0.0,v4,6.42,v1,v2,60.3,4.63,3.0,658.0,v2,v2,1.0,v1,v1,1.0,5549.0,v4,v2,v6,v1,v3,0
0.0,1.0,v6,v3,0.04,v1,1.0,1.0,v4,3.0,56130.0,v1,v1,v5,v2,0.1,765.0,26.7,v2,56.0,72.2,0.829,257.0,1.0,v3,0.0,485.0,2.0,0.943,821.0,v1,0.648,647.0,v4,4867.0,0.482,v1,v1,v2,v2,1.0,6391.0,2.0,v2,7.86,1.0,v6,v1,v3,0.0,v3,3.0,6.92,0.0,v5,v5,v2,v3,55927.0,6415.0,32.2,1.0,57.6,v4,1.0,v2,14848.0,v1,v2,6.61,0.0,6859.0,0.58,6686.0,0.0,63.0,79.5,0.0,v3,1.0,v3,5.65,v2,v2,54.7,3.41,0.0,625.0,v6,v1,2.0,v1,v2,1.0,5513.0,v4,v1,v1,v2,v3,1
1.0,3.0,v6,v2,0.25,v3,1.0,1.0,v4,0.0,68164.0,v3,v2,v3,v2,0.15,341.0,30.1,v1,61.0,66.4,0.838,217.0,2.0,v3,1.0,429.0,3.0,0.943,804.0,v1,0.629,597.0,v5,4088.0,0.484,v4,v2,v4,v2,2.0,6401.0,4.0,v1,8.68,1.0,v1,v2,v1,0.0,v3,2.0,3.73,0.0,v1,v3,v2,v2,53773.0,6861.0,70.2,0.0,32.2,v2,1.0,v2,16080.0,v4,v3,7.01,2.0,6572.0,0.65,6759.0,2.0,88.0,83.6,2.0,v4,1.0,v3,3.44,v2,v1,56.4,7.7,2.0,837.0,v3,v2,1.0,v1,v1,1.0,6048.0,v1,v1,v3,v1,v1,0
1.0,1.0,v4,v2,0.11,v2,1.0,1.0,v3,2.0,31001.0,v3,v1,v4,v5,0.37,863.0,33.3,v1,27.0,76.4,0.831,274.0,3.0,v2,1.0,286.0,0.0,0.914,859.0,v1,0.635,647.0,v6,4018.0,0.437,v3,v1,v1,v1,1.0,7289.0,1.0,v4,7.56,0.0,v2,v3,v4,2.0,v4,1.0,7.1,1.0,v1,v3,v1,v3,53539.0,5919.0,35.3,0.0,31.6,v2,2.0,v1,20465.0,v1,v1,7.52,2.0,7353.0,0.5,3867.0,1.0,93.0,80.0,5.0,v4,0.0,v4,6.53,v1,v2,45.3,3.67,2.0,473.0,v4,v2,2.0,v2,v2,0.0,5573.0,v3,v1,v4,v1,v1,0
1.0,2.0,v6,v1,0.29,v3,1.0,1.0,v1,1.0,30823.0,v1,v1,v4,v4,0.13,541.0,33.5,v1,58.0,79.8,0.848,259.0,0.0,v4,1.0,342.0,1.0,0.938,644.0,v1,0.675,660.0,v1,6431.0,0.393,v4,v2,v3,v1,2.0,5449.0,3.0,v4,8.35,3.0,v4,v2,v1,2.0,v1,1.0,3.75,0.0,v3,v1,v3,v2,64743.0,6627.0,48.3,1.0,31.2,v4,0.0,v2,16081.0,v3,v3,5.73,1.0,7207.0,0.39,2451.0,2.0,67.0,80.0,3.0,v2,0.0,v3,4.02,v1,v2,52.8,7.5,3.0,460.0,v3,v1,1.0,v1,v1,1.0,5452.0,v4,v3,v6,v1,v1,0
1.0,0.0,v4,v1,0.22,v2,0.0,1.0,v2,3.0,71965.0,v1,v2,v4,v5,0.32,828.0,32.8,v2,50.0,71.7,0.928,194.0,1.0,v3,0.0,474.0,4.0,0.911,819.0,v1,0.626,648.0,v4,4003.0,0.451,v4,v2,v5,v2,2.0,6922.0,3.0,v3,8.81,1.0,v6,v3,v1,2.0,v3,1.0,6.93,1.0,v5,v4,v1,v3,41602.0,6261.0,17.4,1.0,29.6,v4,2.0,v1,14461.0,v4,v1,7.33,0.0,6862.0,0.48,7707.0,2.0,64.0,79.3,4.0,v1,1.0,v2,4.82,v3,v1,52.8,7.92,1.0,909.0,v1,v2,1.0,v1,v2,1.0,5204.0,v1,v3,v4,v2,v2,0
0.0,3.0,v2,v3,0.43,v2,1.0,2.0,v4,3.0,72056.0,v3,v2,v4,v6,0.33,760.0,33.9,v2,34.0,80.4,0.911,233.0,0.0,v4,0.0,377.0,2.0,0.921,769.0,v2,0.46,599.0,v1,5183.0,0.9,v2,v2,v4,v1,2.0,5926.0,1.0,v2,7.65,3.0,v3,v1,v6,2.0,v4,1.0,3.72,0.0,v5,v2,v1,v1,41955.0,6685.0,64.7,1.0,49.2,v2,2.0,v2,22789.0,v2,v4,7.01,0.0,6848.0,0.32,2753.0,1.0,75.0,84.3,1.0,v4,1.0,v2,3.72,v1,v2,61.7,3.37,3.0,417.0,v4,v1,1.0,v1,v1,1.0,5927.0,v1,v3,v3,v2,v3,0
1.0,4.0,v3,v2,0.21,v2,0.0,2.0,v1,2.0,37352.0,v1,v1,v5,v2,0.16,328.0,26.8,v1,30.0,69.1,0.948,236.0,2.0,v3,0.0,455.0,2.0,0.941,668.0,v2,0.631,648.0,v6,5127.0,0.539,v1,v2,v2,v2,3.0,6255.0,2.0,v3,7.34,0.0,v2,v1,v3,1.0,v4,0.0,3.88,1.0,v5,v1,v2,v3,57995.0,6319.0,32.8,1.0,30.8,v5,0.0,v1,22925.0,v5,v1,5.58,2.0,6169.0,0.15,5388.0,2.0,72.0,79.7,2.0,v5,1.0,v4,6.83,v1,v1,46.7,4.52,3.0,632.0,v3,v2,2.0,v2,v2,1.0,5584.0,v5,v2,v6,v2,v2,0
1.0,1.0,v3,v1,0.44,v1,0.0,2.0,v4,1.0,85756.0,v3,v2,v3,v5,0.24,867.0,28.1,v1,56.0,67.2,0.858,279.0,3.0,v2,0.0,383.0,2.0,0.909,859.0,v1,0.588,655.0,v1,4089.0,0.164,v3,v3,v4,v1,0.0,7326.0,3.0,v4,7.67,0.0,v4,v3,v3,1.0,v3,2.0,5.65,1.0,v2,v2,v3,v3,53614.0,5882.0,78.4,1.0,30.9,v5,1.0,v2,23421.0,v1,v3,7.31,2.0,6277.0,0.56,7352.0,1.0,66.0,79.1,5.0,v1,1.0,v1,6.53,v3,v2,46.1,6.79,3.0,457.0,v3,v3,1.0,v2,v2,0.0,5526.0,v3,v3,v6,v1,v1,1
1.0,3.0,v6,v3,0.4,v3,0.0,1.0,v1,1.0,35799.0,v3,v1,v4,v3,0.25,327.0,29.5,v2,43.0,84.4,0.834,263.0,0.0,v3,0.0,477.0,3.0,0.941,824.0,v1,0.467,649.0,v1,5255.0,0.18,v3,v4,v4,v2,3.0,6237.0,3.0,v2,7.29,0.0,v2,v3,v6,0.0,v5,2.0,4.45,0.0,v3,v2,v3,v3,52942.0,6760.0,37.6,1.0,53.0,v4,2.0,v1,16079.0,v3,v2,5.57,1.0,6674.0,0.15,5102.0,1.0,90.0,83.6,0.0,v3,0.0,v3,3.79,v3,v1,44.4,5.22,0.0,795.0,v6,v3,1.0,v2,v1,0.0,5401.0,v4,v3,v2,v1,v5,0
0.0,4.0,v1,v2,0.04,v3,0.0,1.0,v4,1.0,71929.0,v1,v1,v5,v5,0.22,382.0,31.2,v2,51.0,72.0,0.94,259.0,0.0,v2,1.0,382.0,1.0,0.91,881.0,v1,0.45,608.0,v5,3987.0,0.327,v4,v4,v1,v1,3.0,5418.0,3.0,v3,7.75,3.0,v6,v3,v2,2.0,v2,0.0,7.18,0.0,v2,v5,v3,v2,40199.0,6323.0,32.2,0.0,43.8,v2,0.0,v2,17946.0,v5,v3,6.67,1.0,7035.0,0.51,2640.0,1.0,69.0,79.2,0.0,v2,0.0,v4,6.18,v2,v1,47.1,3.86,3.0,392.0,v6,v3,0.0,v2,v2,0.0,5695.0,v1,v1,v5,v1,v5,0
1.0,2.0,v3,v1,0.25,v2,1.0,0.0,v4,3.0,42263.0,v1,v2,v4,v6,0.51,863.0,32.6,v1,32.0,78.1,0.943,281.0,2.0,v2,1.0,309.0,4.0,0.927,704.0,v2,0.539,658.0,v1,6126.0,0.18,v5,v4,v2,v2,2.0,6210.0,4.0,v3,7.79,3.0,v5,v2,v3,2.0,v5,0.0,5.98,0.0,v3,v2,v2,v3,48125.0,6694.0,45.5,0.0,60.4,v4,2.0,v2,16231.0,v3,v2,6.62,2.0,6083.0,0.41,6738.0,1.0,70.0,79.3,0.0,v2,1.0,v1,6.5,v2,v2,43.7,4.42,3.0,476.0,v2,v3,0.0,v2,v2,0.0,5756.0,v4,v3,v1,v1,v3,0
0.0,2.0,v5,v2,0.46,v3,1.0,0.0,v2,0.0,71937.0,v2,v2,v1,v2,0.34,307.0,37.2,v1,41.0,66.8,0.95,190.0,2.0,v1,1.0,456.0,0.0,0.931,700.0,v1,0.636,630.0,v5,5254.0,0.311,v3,v4,v5,v1,3.0,7402.0,3.0,v5,8.6,3.0,v1,v1,v1,0.0,v4,2.0,4.97,0.0,v4,v4,v2,v3,53961.0,6356.0,43.7,0.0,30.9,v4,2.0,v1,19492.0,v2,v3,5.58,0.0,7028.0,0.21,2676.0,1.0,68.0,79.5,4.0,v2,0.0,v1,3.98,v2,v1,47.2,6.39,0.0,441.0,v6,v3,0.0,v1,v1,1.0,5213.0,v1,v1,v6,v1,v3,0
0.0,1.0,v3,v4,0.05,v1,1.0,1.0,v2,1.0,73161.0,v2,v1,v2,v6,0.33,353.0,33.4,v1,27.0,68.7,0.816,204.0,4.0,v2,1.0,446.0,3.0,0.91,837.0,v1,0.452,651.0,v3,5309.0,0.428,v1,v2,v1,v2,1.0,7078.0,1.0,v4,8.22,0.0,v3,v3,v4,0.0,v3,1.0,4.92,1.0,v4,v5,v3,v3,42642.0,6457.0,14.4,0.0,58.4,v5,1.0,v1,16079.0,v1,v3,5.58,2.0,6448.0,0.15,6550.0,0.0,87.0,83.7,2.0,v4,0.0,v1,5.92,v3,v2,56.2,5.22,0.0,791.0,v1,v3,1.0,v1,v1,1.0,5858.0,v2,v3,v3,v2,v1,0
1.0,4.0,v6,v3,0.13,v1,0.0,1.0,v1,0.0,72115.0,v3,v2,v2,v5,0.42,663.0,32.8,v1,53.0,75.9,0.934,247.0,0.0,v3,0.0,432.0,3.0,0.93,826.0,v1,0.628,654.0,v2,4032.0,0.484,v1,v1,v4,v1,3.0,6250.0,4.0,v4,7.34,3.0,v1,v2,v1,0.0,v4,1.0,5.13,1.0,v5,v3,v1,v2,41999.0,6172.0,67.5,1.0,31.3,v4,0.0,v2,13093.0,v1,v2,6.61,1.0,6824.0,0.38,2950.0,2.0,72.0,79.6,1.0,v1,0.0,v2,3.85,v3,v2,47.4,5.39,0.0,891.0,v2,v2,1.0,v1,v2,1.0,5659.0,v2,v2,v1,v2,v4,1
0.0,3.0,v4,v4,0.44,v1,1.0,3.0,v3,2.0,71948.0,v3,v1,v1,v4,0.15,897.0,30.8,v2,50.0,81.6,0.874,243.0,3.0,v4,0.0,459.0,2.0,0.91,708.0,v2,0.637,593.0,v2,6543.0,0.495,v3,v2,v1,v2,2.0,6401.0,1.0,v4,7.31,0.0,v4,v2,v6,0.0,v1,2.0,3.98,0.0,v2,v2,v2,v2,52785.0,6120.0,71.4,0.0,31.2,v1,2.0,v2,14991.0,v2,v1,5.58,1.0,6002.0,0.15,5566.0,0.0,70.0,81.1,1.0,v1,0.0,v1,6.47,v1,v2,45.7,4.29,1.0,539.0,v3,v2,2.0,v1,v2,1.0,6081.0,v3,v1,v2,v1,v4,1
0.0,2.0,v4,v4,0.18,v2,0.0,1.0,v4,2.0,83237.0,v1,v2,v1,v3,0.26,397.0,26.4,v2,44.0,76.2,0.803,245.0,4.0,v1,0.0,479.0,3.0,0.909,549.0,v1,0.649,597.0,v6,4042.0,0.157,v4,v2,v1,v2,3.0,5727.0,2.0,v2,7.58,2.0,v4,v2,v3,2.0,v1,0.0,5.57,1.0,v3,v4,v2,v2,52638.0,6347.0,45.4,1.0,30.8,v3,0.0,v2,20056.0,v3,v3,5.57,3.0,5843.0,0.15,2886.0,2.0,68.0,79.7,0.0,v1,0.0,v1,6.5,v1,v2,44.9,4.25,3.0,436.0,v6,v3,1.0,v1,v2,1.0,5194.0,v1,v2,v5,v2,v3,0
1.0,0.0,v4,v4,0.04,v2,1.0,3.0,v3,2.0,35536.0,v2,v1,v3,v4,0.28,786.0,29.7,v1,64.0,69.2,0.915,254.0,0.0,v1,0.0,455.0,3.0,0.922,879.0,v2,0.612,600.0,v4,5178.0,0.146,v5,v1,v4,v1,2.0,7293.0,0.0,v4,7.5,0.0,v4,v1,v1,2.0,v2,0.0,4.87,0.0,v3,v1,v1,v3,53223.0,6432.0,51.1,1.0,31.1,v5,2.0,v1,22413.0,v4,v2,7.26,2.0,6517.0,0.59,6984.0,0.0,73.0,83.6,4.0,v4,1.0,v1,6.23,v3,v1,45.3,4.44,3.0,837.0,v1,v1,0.0,v2,v1,0.0,6146.0,v3,v2,v2,v2,v2,0
0.0,1.0,v3,v1,0.44,v2,1.0,3.0,v3,0.0,71923.0,v2,v1,v3,v4,0.14,674.0,31.6,v1,47.0,71.6,0.948,201.0,2.0,v1,0.0,322.0,1.0,0.915,552.0,v1,0.608,600.0,v1,6748.0,0.176,v3,v4,v4,v2,0.0,6400.0,0.0,v4,7.99,0.0,v6,v2,v5,2.0,v4,2.0,7.36,0.0,v3,v2,v3,v2,71116.0,6322.0,26.7,0.0,30.0,v3,0.0,v1,16080.0,v3,v4,5.61,0.0,6041.0,0.57,6732.0,0.0,63.0,79.5,5.0,v5,0.0,v1,5.87,v3,v1,45.4,7.49,1.0,867.0,v3,v3,1.0,v1,v1,1.0,5331.0,v3,v1,v6,v1,v2,0
1.0,3.0,v1,v3,0.11,v1,0.0,2.0,v4,0.0,76511.0,v2,v1,v5,v6,0.18,878.0,37.1,v2,54.0,68.4,0.881,226.0,2.0,v1,1.0,425.0,2.0,0.94,745.0,v1,0.6,645.0,v1,6596.0,0.141,v1,v2,v3,v2,2.0,7359.0,4.0,v3,8.51,1.0,v4,v2,v1,1.0,v2,1.0,4.83,0.0,v5,v4,v1,v3,52798.0,6393.0,48.5,0.0,47.2,v2,0.0,v1,17132.0,v4,v2,5.57,1.0,6584.0,0.39,5485.0,0.0,72.0,83.8,2.0,v3,1.0,v4,5.43,v3,v1,43.7,3.32,3.0,900.0,v2,v2,1.0,v2,v2,1.0,5805.0,v5,v2,v2,v1,v1,1
0.0,2.0,v6,v3,0.4,v1,0.0,0.0,v4,1.0,72017.0,v3,v1,v4,v2,0.22,350.0,33.5,v2,53.0,74.1,0.914,273.0,1.0,v2,0.0,301.0,0.0,0.941,839.0,v2,0.578,602.0,v1,5431.0,0.359,v3,v1,v5,v1,0.0,5434.0,0.0,v4,7.71,3.0,v4,v2,v3,2.0,v1,2.0,7.24,0.0,v1,v3,v2,v2,64942.0,5941.0,46.3,0.0,51.8,v4,2.0,v1,22667.0,v2,v2,6.93,1.0,7348.0,0.47,2551.0,1.0,83.0,82.5,5.0,v3,1.0,v2,3.63,v2,v1,43.7,4.53,1.0,475.0,v3,v3,0.0,v2,v2,0.0,5284.0,v1,v1,v1,v1,v1,0
1.0,3.0,v4,v2,0.27,v1,1.0,3.0,v4,0.0,32171.0,v2,v2,v3,v4,0.29,617.0,37.1,v1,60.0,70.9,0.818,190.0,1.0,v1,0.0,404.0,3.0,0.91,768.0,v1,0.63,595.0,v4,5169.0,0.179,v2,v3,v4,v2,1.0,7392.0,2.0,v4,7.55,3.0,v1,v2,v4,1.0,v5,3.0,3.83,0.0,v4,v4,v2,v1,58932.0,6283.0,85.4,0.0,30.0,v4,1.0,v1,18547.0,v1,v1,7.03,3.0,6982.0,0.73,2835.0,2.0,69.0,81.3,5.0,v3,0.0,v1,3.94,v3,v2,45.6,7.17,1.0,384.0,v1,v3,2.0,v1,v2,1.0,6111.0,v3,v2,v3,v2,v1,1
