V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,class
3.62,47804.0,51.1,2.09,59448.0,0.165,78.9,90.0,4.43,3.9,51.1,v1,0.662,97.3,5650.0,741.0,0.649,5.92,0.27,656.0,26.2,0.45,0.7,77.7,7.58,0.753,0.347,0.72,9.83,0.39,v2,51.5,0.44,20.9,57.1,0.79,15813.0,6.34,0.825,v2,0
1.2,46123.0,22.4,1.93,22360.0,0.494,77.5,58.0,4.32,8.7,52.3,v2,0.863,99.2,6584.0,782.0,0.644,4.28,0.4,539.0,28.9,0.24,0.81,85.5,6.95,0.918,0.616,0.87,9.09,0.21,v2,53.3,0.39,69.5,57.1,0.64,22596.0,7.13,0.751,v3,0
3.82,55390.0,37.6,1.96,36547.0,0.171,74.5,92.0,4.6,3.5,51.1,v2,0.683,95.9,4502.0,810.0,0.638,3.38,0.72,597.0,31.8,0.26,2.94,94.3,6.97,0.152,0.37,0.96,9.05,0.62,v2,61.3,0.56,18.9,59.0,0.28,48802.0,7.36,0.757,v3,1
3.87,47833.0,38.7,1.83,58592.0,0.162,77.9,93.0,4.66,9.1,50.2,v1,0.644,91.5,5507.0,740.0,0.868,3.1,0.43,816.0,29.6,0.45,3.98,64.4,6.98,0.347,0.354,0.74,9.53,0.41,v1,58.8,0.38,26.2,70.5,0.37,18363.0,8.48,0.726,v1,1
1.88,53752.0,37.8,0.92,34308.0,0.315,77.0,58.0,4.24,3.7,51.8,v1,0.672,96.3,6813.0,760.0,0.648,6.1,0.44,713.0,27.4,0.43,4.12,82.7,7.41,0.215,0.555,0.73,9.11,0.62,v1,55.5,0.49,72.1,69.3,0.43,15334.0,7.2,0.727,v3,0
3.68,54597.0,14.3,1.99,19714.0,0.163,79.2,53.0,4.64,7.2,50.4,v2,0.664,75.8,5010.0,799.0,0.476,5.73,0.57,791.0,28.3,0.24,1.25,79.1,6.97,0.442,0.61,0.42,9.11,0.24,v1,61.0,0.43,44.3,58.1,0.89,17429.0,8.14,0.7,v3,0
3.1,53423.0,49.4,1.94,41408.0,0.498,79.6,84.0,4.68,8.6,50.4,v2,0.863,85.0,4401.0,769.0,0.635,6.02,0.38,820.0,26.4,0.46,3.83,81.7,6.84,0.828,0.359,0.87,9.24,0.33,v1,53.0,0.43,23.3,71.7,0.88,55409.0,6.91,0.801,v3,1
2.89,53636.0,39.8,2.27,19741.0,0.227,71.4,69.0,4.7,8.2,50.7,v1,0.62,97.8,6243.0,775.0,0.247,6.32,0.59,285.0,34.4,0.27,2.17,76.0,6.72,0.291,0.608,0.9,9.05,0.36,v1,56.9,0.43,59.9,64.1,0.58,78133.0,6.46,0.707,v2,0
2.25,53782.0,47.7,1.85,48563.0,0.316,74.1,67.0,4.55,6.7,52.7,v1,0.669,98.4,4476.0,760.0,0.622,5.11,0.73,683.0,26.0,0.47,1.46,92.8,6.91,0.164,0.365,0.69,9.13,0.62,v1,57.6,0.42,87.6,59.5,0.8,53489.0,7.24,0.765,v1,0
3.86,45928.0,34.5,2.72,66134.0,0.166,77.5,67.0,4.7,9.4,56.0,v1,0.835,77.8,6336.0,752.0,0.65,6.3,0.44,490.0,29.2,0.27,1.16,73.6,6.85,0.232,0.62,0.95,9.65,0.62,v2,59.6,0.44,71.2,56.0,0.84,21945.0,7.42,0.745,v3,0
2.8,52909.0,39.7,3.26,22000.0,0.498,73.0,72.0,4.67,9.1,53.2,v2,0.675,74.7,5694.0,756.0,0.802,5.91,0.7,607.0,26.3,0.19,2.77,78.7,7.77,0.381,0.433,0.78,9.1,0.27,v1,48.5,0.55,73.4,55.5,0.81,14002.0,8.06,0.686,v1,1
3.57,46404.0,39.9,2.02,20070.0,0.464,79.6,89.0,4.26,5.8,51.6,v2,0.64,75.0,4618.0,757.0,0.459,6.08,0.31,286.0,26.3,0.25,2.22,86.9,8.71,0.267,0.468,0.88,9.22,0.6,v2,59.3,0.35,37.3,67.2,0.87,52268.0,7.11,0.756,v1,1
2.7,54554.0,45.3,2.48,37145.0,0.408,78.6,82.0,4.3,9.5,51.5,v2,0.686,93.7,6667.0,746.0,0.394,4.14,0.71,430.0,25.4,0.25,1.13,85.0,7.18,0.357,0.582,0.57,9.39,0.31,v2,53.7,0.44,18.4,59.3,0.66,14600.0,6.51,0.758,v3,0
2.06,46710.0,32.1,2.74,20992.0,0.276,73.4,91.0,4.68,8.3,55.3,v1,0.864,95.3,7479.0,749.0,0.632,5.19,0.56,747.0,32.8,0.37,2.98,79.0,6.69,0.781,0.583,0.62,9.08,0.4,v2,58.2,0.54,59.8,65.1,0.33,57523.0,7.29,0.756,v3,0
2.68,56373.0,46.0,2.38,55068.0,0.156,72.8,83.0,4.59,9.3,55.9,v1,0.859,95.8,6685.0,768.0,0.649,3.85,0.6,642.0,27.1,0.27,2.67,88.1,6.97,0.118,0.522,0.57,9.09,0.6,v1,53.9,0.38,61.0,70.8,0.35,16075.0,7.15,0.839,v1,0
3.73,56354.0,37.6,2.48,24148.0,0.316,71.8,54.0,4.63,8.4,52.1,v1,0.557,95.7,6553.0,801.0,0.813,5.26,0.15,610.0,25.3,0.45,1.99,92.5,7.0,0.716,0.449,0.9,9.07,0.52,v2,57.5,0.35,60.8,65.2,0.59,79939.0,7.19,0.764,v2,1
3.6,54376.0,31.2,0.63,24395.0,0.493,73.1,69.0,4.67,3.6,52.3,v1,0.647,75.2,4759.0,772.0,0.792,3.82,0.47,816.0,26.2,0.23,1.17,83.6,7.07,0.22,0.435,0.95,9.16,0.42,v2,58.4,0.35,85.7,60.9,0.65,82046.0,6.58,0.736,v1,0
3.71,55085.0,37.2,1.83,90269.0,0.164,78.6,93.0,4.59,9.2,50.2,v2,0.863,98.7,4920.0,770.0,0.647,6.3,0.37,532.0,30.5,0.28,4.1,79.9,8.73,0.826,0.537,0.83,9.68,0.58,v2,60.8,0.35,60.4,57.5,0.65,15824.0,6.96,0.702,v1,1
3.81,49074.0,16.4,1.84,59551.0,0.498,72.7,64.0,4.4,8.3,52.4,v1,0.678,45.3,6207.0,755.0,0.325,3.55,0.49,349.0,31.8,0.22,2.36,77.5,7.95,0.238,0.365,0.66,9.52,0.27,v1,56.6,0.45,67.0,64.8,0.35,23435.0,7.04,0.719,v3,0
3.69,53068.0,39.3,2.31,20928.0,0.415,76.7,94.0,4.63,6.9,52.7,v1,0.668,76.1,4314.0,810.0,0.616,3.61,0.68,756.0,24.9,0.47,3.24,98.3,6.9,0.203,0.441,0.49,9.46,0.29,v1,59.4,0.48,73.9,56.1,0.75,75771.0,6.86,0.844,v1,0
3.85,54857.0,39.8,0.38,30286.0,0.315,77.9,87.0,4.42,8.7,50.2,v2,0.646,81.1,7258.0,741.0,0.568,6.24,0.42,812.0,33.2,0.25,0.73,85.1,6.92,0.253,0.355,0.67,9.76,0.26,v2,59.3,0.34,20.6,63.3,0.54,48718.0,6.58,0.802,v1,0
3.25,54327.0,27.6,2.28,34036.0,0.303,77.4,94.0,4.67,5.7,53.6,v1,0.594,83.5,4949.0,754.0,0.428,4.64,0.14,701.0,24.2,0.46,3.27,65.7,7.96,0.27,0.446,0.92,9.08,0.22,v1,49.3,0.38,38.0,72.0,0.45,57435.0,6.59,0.851,v3,0
3.77,53080.0,36.3,1.86,22837.0,0.315,80.1,86.0,4.44,3.8,53.7,v1,0.749,79.6,4682.0,786.0,0.248,4.06,0.53,815.0,31.7,0.21,4.04,83.9,6.85,0.77,0.484,0.84,9.12,0.54,v2,60.8,0.47,20.5,55.0,0.64,44524.0,7.55,0.733,v1,1
3.6,56580.0,38.5,2.58,53486.0,0.495,78.8,68.0,4.29,6.2,54.1,v1,0.828,98.1,7244.0,766.0,0.648,6.0,0.68,725.0,28.3,0.16,3.69,93.6,7.19,0.713,0.609,0.62,9.58,0.61,v2,52.2,0.52,71.5,57.0,0.77,16496.0,7.59,0.732,v3,0
2.42,54596.0,28.2,0.29,84586.0,0.419,71.6,85.0,4.61,4.2,55.1,v2,0.683,94.0,6988.0,803.0,0.298,6.05,0.73,313.0,27.8,0.46,3.76,75.7,6.75,0.103,0.354,0.87,9.46,0.52,v1,61.3,0.58,71.3,63.9,0.89,37377.0,7.02,0.847,v3,1
2.98,49132.0,25.6,1.92,26909.0,0.239,77.8,94.0,4.47,4.2,51.8,v1,0.864,98.7,6059.0,741.0,0.643,3.18,0.15,815.0,32.4,0.23,2.33,70.6,6.71,0.168,0.377,0.95,9.04,0.31,v1,48.8,0.57,24.9,60.2,0.63,57779.0,7.18,0.715,v3,0
3.32,50500.0,26.0,0.67,88506.0,0.316,84.9,58.0,4.64,9.4,50.9,v2,0.647,96.4,6308.0,746.0,0.373,6.37,0.69,649.0,34.6,0.24,3.7,90.5,6.75,0.827,0.36,0.84,9.16,0.35,v2,50.8,0.44,18.0,59.3,0.64,57305.0,6.58,0.839,v1,0
1.86,48740.0,36.7,0.63,35804.0,0.158,74.4,87.0,4.65,4.3,50.9,v2,0.672,98.0,4420.0,746.0,0.252,6.1,0.44,814.0,28.3,0.47,3.31,85.6,7.42,0.163,0.606,0.93,9.04,0.3,v2,55.4,0.43,23.9,57.7,0.35,22659.0,6.6,0.772,v1,0
3.86,46700.0,39.9,0.47,58143.0,0.271,72.2,69.0,4.32,3.4,53.0,v2,0.831,77.1,6005.0,763.0,0.645,5.3,0.71,227.0,26.3,0.25,1.54,78.9,6.84,0.261,0.397,0.97,9.61,0.23,v1,58.0,0.43,19.2,70.2,0.83,40052.0,8.18,0.705,v1,0
3.48,56593.0,17.1,0.78,80778.0,0.166,78.8,74.0,4.51,7.7,52.9,v1,0.648,96.4,4970.0,797.0,0.642,5.95,0.71,238.0,24.7,0.23,3.85,80.8,7.28,0.158,0.49,0.89,9.05,0.42,v1,60.8,0.38,70.6,67.8,0.8,58190.0,7.3,0.828,v3,0
3.88,52363.0,40.9,2.62,20652.0,0.164,72.8,82.0,4.61,7.8,50.2,v1,0.487,96.2,5093.0,746.0,0.646,4.26,0.63,427.0,24.2,0.26,3.37,85.4,6.95,0.264,0.497,0.54,9.3,0.46,v1,60.6,0.5,27.7,72.9,0.26,59022.0,6.65,0.818,v2,0
3.45,56374.0,36.1,1.98,19584.0,0.498,78.3,89.0,4.36,4.6,53.5,v1,0.863,97.4,7245.0,784.0,0.642,6.2,0.72,821.0,32.9,0.17,1.86,87.2,8.18,0.727,0.623,0.92,9.85,0.3,v2,54.0,0.34,67.7,70.5,0.64,53587.0,7.42,0.811,v2,1
2.1,49440.0,24.9,2.92,50826.0,0.315,78.4,67.0,4.69,8.0,50.2,v1,0.864,75.9,7285.0,742.0,0.243,5.38,0.53,777.0,28.2,0.45,0.55,87.9,7.3,0.747,0.625,0.43,9.11,0.4,v1,56.4,0.44,59.6,63.1,0.44,52657.0,6.81,0.759,v3,0
3.68,49698.0,51.1,1.68,19653.0,0.316,80.9,84.0,4.31,7.4,52.1,v2,0.696,43.7,5490.0,764.0,0.609,5.31,0.36,605.0,26.3,0.24,0.91,94.8,6.97,0.23,0.624,0.66,9.85,0.26,v1,62.2,0.48,59.7,66.7,0.59,25508.0,7.27,0.752,v2,1
2.57,55325.0,28.1,1.51,89205.0,0.162,74.1,87.0,4.38,9.0,51.9,v1,0.731,93.9,6997.0,804.0,0.632,6.03,0.37,708.0,24.2,0.47,3.08,80.0,8.08,0.558,0.464,0.87,9.13,0.6,v2,60.5,0.43,67.0,58.5,0.87,53822.0,7.6,0.762,v2,1
3.32,54196.0,37.1,2.44,24443.0,0.157,77.8,55.0,4.65,7.9,52.2,v2,0.84,76.5,6357.0,747.0,0.643,5.39,0.64,607.0,29.5,0.25,3.88,82.8,6.68,0.456,0.437,0.63,9.05,0.38,v2,60.7,0.41,69.8,70.3,0.58,54260.0,6.44,0.719,v1,0
3.58,53342.0,12.1,2.09,24512.0,0.231,77.7,77.0,4.7,9.3,55.4,v2,0.697,83.5,6625.0,802.0,0.493,4.94,0.47,598.0,23.9,0.43,1.41,88.7,7.42,0.236,0.554,0.74,9.76,0.44,v2,59.9,0.44,66.1,61.3,0.59,57354.0,7.19,0.698,v3,0
3.4,52399.0,31.6,1.4,22078.0,0.423,85.3,71.0,4.58,9.0,52.9,v1,0.822,43.9,4347.0,760.0,0.619,6.34,0.62,449.0,24.4,0.32,0.54,86.3,7.0,0.389,0.345,0.94,9.15,0.6,v2,61.0,0.44,63.2,71.6,0.46,16430.0,7.44,0.742,v3,0
2.84,46668.0,32.8,0.59,72337.0,0.171,72.7,87.0,4.49,8.6,50.2,v1,0.738,95.6,5717.0,771.0,0.299,4.32,0.33,608.0,26.2,0.27,3.48,93.2,6.69,0.551,0.394,0.86,9.36,0.5,v1,54.0,0.61,18.9,55.0,0.33,16591.0,7.08,0.836,v3,0
2.28,46366.0,34.4,1.84,87395.0,0.171,79.7,90.0,4.24,8.4,51.5,v1,0.66,92.7,5898.0,809.0,0.246,5.86,0.48,818.0,24.1,0.47,4.14,72.0,7.02,0.958,0.501,0.89,8.85,0.23,v2,58.6,0.46,72.9,63.6,0.88,34496.0,7.79,0.722,v3,1
3.31,53255.0,51.3,0.72,40832.0,0.359,72.8,94.0,4.33,8.9,51.7,v1,0.7,87.7,7494.0,756.0,0.251,6.03,0.44,823.0,24.3,0.3,1.15,82.6,6.78,0.221,0.447,0.56,9.08,0.46,v1,49.7,0.43,72.2,60.9,0.78,53673.0,7.63,0.693,v3,0
3.51,54427.0,39.9,3.09,29406.0,0.316,73.5,78.0,4.48,8.4,52.8,v1,0.621,74.5,7477.0,749.0,0.325,6.01,0.45,607.0,25.7,0.24,2.33,67.8,6.87,0.437,0.463,0.6,8.45,0.46,v2,61.9,0.41,72.3,55.4,0.7,45993.0,7.46,0.825,v3,1
2.76,54274.0,30.2,0.46,55490.0,0.16,78.7,55.0,4.52,9.2,52.8,v1,0.668,76.7,5264.0,804.0,0.632,5.79,0.64,815.0,32.9,0.3,0.49,87.3,6.79,0.291,0.507,0.81,9.15,0.5,v2,58.9,0.35,24.5,61.0,0.59,65757.0,7.22,0.717,v1,0
3.31,47188.0,12.6,2.12,47654.0,0.237,72.0,73.0,4.48,9.0,52.2,v1,0.656,98.8,7354.0,799.0,0.361,6.03,0.64,414.0,25.5,0.28,2.71,81.5,7.5,0.835,0.353,0.92,9.12,0.31,v1,55.1,0.45,63.4,55.4,0.89,58518.0,6.98,0.726,v3,0
2.78,53462.0,48.3,1.9,96739.0,0.169,78.9,53.0,4.63,4.5,50.2,v1,0.687,77.2,5676.0,805.0,0.439,6.27,0.68,605.0,34.4,0.29,4.09,80.9,7.34,0.266,0.468,0.95,9.04,0.25,v1,59.7,0.57,21.8,67.9,0.41,72793.0,8.15,0.689,v1,1
1.34,53976.0,15.9,3.33,93861.0,0.315,81.8,58.0,4.64,7.8,50.4,v2,0.644,80.9,6381.0,808.0,0.443,6.25,0.62,605.0,26.0,0.25,3.56,92.8,7.22,0.771,0.607,0.74,9.4,0.46,v2,60.7,0.36,50.7,57.4,0.32,22212.0,7.17,0.815,v1,0
3.84,52817.0,34.3,1.23,59666.0,0.315,77.7,93.0,4.48,3.9,50.2,v2,0.693,80.8,4331.0,744.0,0.238,4.64,0.56,811.0,34.1,0.43,0.88,78.5,6.69,0.812,0.533,0.67,9.59,0.5,v1,50.6,0.45,30.5,69.3,0.25,14992.0,7.95,0.746,v1,0
3.53,49449.0,39.8,2.31,52116.0,0.495,81.7,72.0,4.55,4.9,50.7,v2,0.712,84.4,4700.0,760.0,0.822,5.49,0.49,243.0,24.4,0.42,3.75,78.6,7.06,0.165,0.345,0.73,9.58,0.34,v2,49.6,0.61,78.2,71.5,0.85,18999.0,8.22,0.735,v2,0
3.85,55727.0,40.0,2.1,90621.0,0.316,83.9,75.0,4.7,5.1,53.7,v1,0.689,67.6,7393.0,761.0,0.241,6.31,0.14,584.0,29.1,0.23,3.74,77.4,6.69,0.169,0.588,0.57,9.12,0.54,v2,61.2,0.44,67.5,66.5,0.21,44773.0,7.38,0.796,v3,0
2.44,53354.0,29.6,1.85,53469.0,0.495,76.9,89.0,4.65,7.7,52.7,v1,0.759,96.1,7097.0,761.0,0.59,6.03,0.17,743.0,29.5,0.28,1.55,80.7,6.8,0.775,0.46,0.92,8.37,0.33,v1,55.3,0.4,60.6,64.9,0.76,56743.0,7.58,0.765,v2,0
3.86,54753.0,38.2,2.52,83666.0,0.496,74.2,84.0,4.6,7.5,54.7,v2,0.677,96.5,7234.0,797.0,0.647,3.77,0.68,818.0,29.0,0.23,3.54,94.8,6.71,0.81,0.582,0.56,9.09,0.3,v2,59.2,0.37,23.4,67.8,0.68,58046.0,7.49,0.83,v1,1
2.72,53724.0,39.8,1.9,40826.0,0.281,80.6,51.0,4.58,5.8,50.3,v1,0.523,75.7,6604.0,740.0,0.648,4.7,0.58,598.0,33.7,0.26,1.14,93.9,6.99,0.541,0.503,0.47,8.78,0.26,v2,61.7,0.43,70.8,57.0,0.3,19596.0,7.25,0.785,v1,0
1.86,52826.0,16.4,1.84,63144.0,0.496,78.0,81.0,4.32,7.9,50.2,v1,0.679,75.9,5831.0,763.0,0.401,4.63,0.45,812.0,31.4,0.21,4.0,86.7,7.12,0.152,0.479,0.98,8.81,0.29,v2,58.9,0.43,69.6,70.2,0.52,24131.0,7.98,0.847,v3,1
3.7,55067.0,42.3,1.83,59661.0,0.165,81.9,55.0,4.6,6.6,54.8,v1,0.613,46.0,6891.0,744.0,0.885,4.4,0.37,821.0,24.2,0.47,0.85,93.7,6.87,0.721,0.603,0.85,9.1,0.5,v2,58.0,0.42,40.0,67.7,0.49,63213.0,7.31,0.831,v1,0
2.54,53148.0,39.8,2.44,20510.0,0.497,78.1,69.0,4.59,9.4,53.5,v1,0.681,65.7,4997.0,761.0,0.607,3.06,0.59,821.0,24.4,0.26,1.43,73.6,7.29,0.691,0.625,0.92,9.12,0.22,v2,61.2,0.42,23.0,56.5,0.32,24988.0,6.71,0.731,v1,0
3.71,52313.0,22.2,2.71,78909.0,0.195,74.6,74.0,4.7,3.8,50.2,v1,0.812,98.1,4899.0,747.0,0.372,5.98,0.36,599.0,26.6,0.27,2.56,96.8,8.42,0.89,0.602,0.95,9.13,0.25,v1,47.2,0.35,70.0,57.3,0.88,63440.0,7.47,0.821,v1,1
3.81,56369.0,46.1,0.51,58083.0,0.497,77.9,93.0,4.66,4.1,50.7,v2,0.692,80.0,6477.0,759.0,0.642,5.18,0.17,608.0,33.3,0.19,3.47,93.7,6.9,0.251,0.624,0.95,9.67,0.33,v1,61.4,0.49,70.2,56.0,0.42,38341.0,6.82,0.752,v1,1
3.58,46349.0,32.5,2.13,19133.0,0.495,78.6,94.0,4.56,6.0,52.6,v1,0.653,80.4,4537.0,764.0,0.642,4.12,0.72,553.0,23.9,0.46,3.51,85.8,7.21,0.182,0.498,0.6,9.1,0.51,v2,61.4,0.43,19.7,54.8,0.69,73792.0,7.11,0.691,v3,0
2.44,54611.0,44.4,3.19,41564.0,0.315,75.7,65.0,4.7,4.5,50.7,v2,0.486,89.5,4154.0,809.0,0.642,5.31,0.73,222.0,28.5,0.47,0.6,80.9,7.22,0.138,0.615,0.94,9.6,0.3,v1,58.9,0.43,66.9,67.2,0.48,47488.0,7.59,0.683,v1,0
1.75,46067.0,42.5,2.05,81112.0,0.414,77.1,69.0,4.67,8.5,50.7,v2,0.756,86.7,6128.0,743.0,0.237,6.22,0.48,601.0,26.2,0.47,1.59,72.5,6.75,0.335,0.362,0.86,8.26,0.43,v1,61.6,0.43,20.5,70.4,0.21,25746.0,7.34,0.721,v1,0
3.84,48116.0,48.0,2.37,58483.0,0.42,77.7,78.0,4.24,8.5,51.5,v1,0.66,79.4,4611.0,794.0,0.247,5.88,0.36,604.0,24.0,0.23,2.87,89.2,6.84,0.88,0.373,0.98,9.03,0.55,v1,60.4,0.43,18.8,55.5,0.85,54234.0,6.67,0.726,v2,0
2.51,46953.0,39.9,3.23,19231.0,0.315,79.3,71.0,4.32,7.3,50.9,v2,0.662,90.0,7418.0,770.0,0.609,6.0,0.69,672.0,25.3,0.26,0.76,97.4,6.93,0.195,0.441,0.56,9.14,0.26,v2,50.8,0.34,69.5,63.3,0.35,18928.0,7.56,0.774,v1,1
3.33,51651.0,19.5,2.73,21589.0,0.171,77.7,90.0,4.62,7.1,53.5,v1,0.649,95.9,5327.0,800.0,0.627,4.04,0.19,617.0,31.1,0.32,2.13,79.5,7.04,0.546,0.367,0.53,9.29,0.34,v2,52.8,0.4,21.7,60.2,0.64,83660.0,8.0,0.794,v3,0
3.6,56663.0,29.0,2.08,59232.0,0.316,73.1,87.0,4.32,8.0,54.4,v1,0.665,97.7,4550.0,806.0,0.416,6.28,0.19,610.0,32.7,0.45,3.96,89.2,7.09,0.276,0.517,0.91,9.04,0.46,v1,60.6,0.62,59.4,68.1,0.38,25835.0,7.24,0.791,v2,0
2.96,46780.0,39.3,1.88,44560.0,0.171,78.2,74.0,4.44,5.1,50.2,v2,0.64,97.3,4589.0,757.0,0.649,5.82,0.34,812.0,24.2,0.22,0.94,94.6,6.93,0.579,0.62,0.93,9.05,0.28,v2,56.3,0.44,24.0,58.6,0.5,79950.0,7.28,0.801,v1,0
3.78,55049.0,45.5,2.11,57966.0,0.496,75.5,68.0,4.64,6.8,50.2,v1,0.644,80.7,7177.0,762.0,0.65,5.87,0.17,814.0,27.4,0.41,3.99,93.3,8.35,0.182,0.37,0.62,9.03,0.39,v1,46.9,0.62,45.5,71.8,0.32,34037.0,8.15,0.821,v1,0
2.85,56424.0,28.4,2.19,52544.0,0.497,76.5,94.0,4.59,7.6,51.1,v2,0.736,70.9,6491.0,808.0,0.643,5.94,0.42,400.0,24.2,0.36,3.59,69.1,6.95,0.112,0.621,0.54,8.99,0.39,v1,52.5,0.34,61.4,71.8,0.32,66008.0,6.6,0.766,v3,0
3.58,53922.0,38.1,1.13,34690.0,0.169,76.2,71.0,4.6,8.4,52.3,v1,0.674,96.5,6852.0,795.0,0.647,5.03,0.55,815.0,23.9,0.33,2.18,62.7,7.01,0.159,0.501,0.96,9.1,0.54,v1,56.0,0.39,22.1,68.1,0.28,68577.0,7.06,0.715,v1,0
2.64,55058.0,20.9,0.37,56810.0,0.315,77.8,68.0,4.68,6.8,51.7,v1,0.807,79.5,5867.0,799.0,0.488,4.89,0.5,671.0,24.8,0.17,3.63,74.7,6.75,0.709,0.48,0.91,9.07,0.37,v1,59.6,0.36,59.9,72.5,0.38,53114.0,7.39,0.712,v3,0
1.2,55274.0,37.2,3.18,23307.0,0.168,83.0,71.0,4.6,7.7,50.2,v1,0.649,84.6,6632.0,808.0,0.245,4.97,0.17,516.0,26.2,0.46,0.92,87.0,6.92,0.729,0.337,0.91,8.97,0.62,v1,59.9,0.51,59.7,64.7,0.4,39823.0,6.58,0.725,v3,0
1.63,55815.0,36.8,1.85,86782.0,0.496,77.9,55.0,4.49,5.0,52.9,v2,0.648,94.4,7463.0,803.0,0.25,6.07,0.42,605.0,26.1,0.38,2.71,82.3,8.55,0.427,0.609,0.84,9.58,0.29,v2,48.9,0.59,63.7,64.7,0.21,21353.0,6.74,0.683,v3,0
1.66,54751.0,17.9,0.77,48008.0,0.194,71.9,86.0,4.39,5.4,50.7,v2,0.68,90.2,5825.0,792.0,0.716,3.28,0.53,569.0,27.3,0.46,4.08,69.4,8.54,0.456,0.497,0.39,9.65,0.31,v2,59.6,0.34,36.6,60.7,0.63,19619.0,8.25,0.742,v1,0
