V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,class
6.99,3473.0,0.38,2.0,v2,v2,4045.0,v1,2.0,v1,1.17,2.0,0
6.63,3085.0,0.39,0.0,v2,v2,3320.0,v1,2.0,v3,1.62,0.0,1
7.29,3069.0,0.13,2.0,v1,v2,3941.0,v1,1.0,v3,1.3,1.0,1
1.51,3146.0,0.52,0.0,v2,v2,7245.0,v1,1.0,v1,1.67,0.0,0
2.15,3296.0,0.48,0.0,v1,v1,7187.0,v1,1.0,v2,1.59,0.0,1
6.47,3291.0,0.47,2.0,v2,v2,3701.0,v1,2.0,v1,0.79,1.0,0
1.62,3580.0,0.36,0.0,v1,v1,7319.0,v1,1.0,v1,1.95,0.0,1
5.58,3295.0,0.14,0.0,v1,v2,4550.0,v1,2.0,v3,1.49,1.0,1
1.63,3462.0,0.13,2.0,v1,v2,7283.0,v1,1.0,v3,1.16,0.0,0
6.66,3242.0,0.54,2.0,v1,v2,3216.0,v1,0.0,v2,1.27,2.0,0
6.68,3533.0,0.42,2.0,v1,v2,3260.0,v1,2.0,v3,1.89,1.0,1
2.5,3073.0,0.13,1.0,v2,v2,3402.0,v1,1.0,v2,1.77,0.0,0
5.56,3147.0,0.5,0.0,v2,v1,4534.0,v1,0.0,v2,0.91,1.0,1
5.54,3079.0,0.51,0.0,v1,v2,4578.0,v1,1.0,v3,1.9,0.0,0
1.96,3284.0,0.42,0.0,v1,v1,7166.0,v1,2.0,v1,1.75,1.0,0
6.22,3092.0,0.4,0.0,v2,v2,3261.0,v1,1.0,v1,2.03,1.0,0
5.2,3477.0,0.14,0.0,v2,v2,3230.0,v1,1.0,v1,0.65,0.0,0
2.65,3215.0,0.51,0.0,v1,v2,3429.0,v3,0.0,v1,1.63,0.0,1
1.92,3085.0,0.52,1.0,v1,v2,3190.0,v1,1.0,v2,1.44,1.0,0
4.29,3467.0,0.14,2.0,v2,v2,7265.0,v1,1.0,v1,0.86,2.0,0
5.73,3563.0,0.52,1.0,v1,v1,4767.0,v1,1.0,v2,1.07,1.0,0
5.47,3097.0,0.13,1.0,v2,v1,3798.0,v1,2.0,v1,1.2,1.0,1
5.43,3084.0,0.49,0.0,v1,v1,3265.0,v1,1.0,v2,0.59,0.0,0
7.48,3143.0,0.52,1.0,v1,v1,3028.0,v3,0.0,v1,1.75,0.0,0
5.64,3118.0,0.46,2.0,v2,v1,3151.0,v2,0.0,v2,1.06,1.0,0
6.42,3140.0,0.46,0.0,v1,v1,3523.0,v1,0.0,v2,0.71,1.0,0
2.03,3081.0,0.13,0.0,v1,v2,3148.0,v1,0.0,v3,1.2,1.0,1
1.78,3470.0,0.13,2.0,v1,v2,4513.0,v1,0.0,v1,1.28,1.0,0
1.49,3070.0,0.44,2.0,v2,v1,6686.0,v1,2.0,v2,1.93,0.0,1
4.6,3101.0,0.15,1.0,v2,v1,5438.0,v1,2.0,v2,1.16,0.0,1
1.76,3086.0,0.58,2.0,v1,v2,7158.0,v1,0.0,v3,2.02,1.0,1
7.96,3138.0,0.47,1.0,v2,v2,6986.0,v1,0.0,v2,1.02,1.0,0
6.76,3070.0,0.53,1.0,v1,v1,7312.0,v2,1.0,v2,1.8,2.0,0
7.05,3091.0,0.24,0.0,v2,v2,4495.0,v1,0.0,v2,0.9,1.0,0
6.72,3466.0,0.53,0.0,v1,v2,6464.0,v1,1.0,v1,1.34,2.0,0
7.41,3108.0,0.18,1.0,v2,v1,3354.0,v1,1.0,v1,2.01,0.0,0
2.06,3550.0,0.14,2.0,v1,v2,3162.0,v1,2.0,v3,1.6,1.0,1
1.64,3075.0,0.47,0.0,v1,v1,7253.0,v1,0.0,v1,0.56,0.0,0
6.5,3120.0,0.13,2.0,v1,v2,4474.0,v2,1.0,v1,0.62,2.0,1
6.03,3623.0,0.31,0.0,v1,v2,3910.0,v1,1.0,v3,1.78,2.0,1
6.46,3146.0,0.14,0.0,v1,v2,4493.0,v1,0.0,v3,1.25,1.0,1
1.5,3117.0,0.48,2.0,v1,v2,4456.0,v1,1.0,v1,1.58,0.0,0
3.84,3587.0,0.65,0.0,v2,v1,5897.0,v1,1.0,v2,0.57,2.0,0
1.5,3149.0,0.42,1.0,v2,v2,3339.0,v1,2.0,v3,1.06,0.0,1
1.57,3071.0,0.53,0.0,v1,v1,7324.0,v1,1.0,v2,1.33,0.0,1
1.63,3076.0,0.46,0.0,v2,v2,3177.0,v1,1.0,v1,1.57,0.0,0
1.7,3072.0,0.13,2.0,v2,v2,7330.0,v1,1.0,v2,1.24,2.0,0
1.62,3479.0,0.62,0.0,v1,v1,4562.0,v1,0.0,v2,1.71,2.0,0
7.26,3069.0,0.5,2.0,v2,v2,4583.0,v1,1.0,v3,0.55,2.0,1
5.43,3069.0,0.13,1.0,v1,v2,7314.0,v1,1.0,v1,1.5,1.0,0
6.09,3489.0,0.13,1.0,v1,v1,6608.0,v1,2.0,v2,1.54,1.0,1
6.47,3120.0,0.67,0.0,v1,v1,3100.0,v3,0.0,v3,1.63,1.0,0
5.98,3471.0,0.46,0.0,v1,v1,6595.0,v1,2.0,v2,0.98,1.0,1
1.46,3132.0,0.47,2.0,v2,v2,4753.0,v1,1.0,v3,1.3,2.0,0
5.81,3070.0,0.67,2.0,v1,v2,7168.0,v1,2.0,v1,0.56,1.0,0
1.55,3089.0,0.66,0.0,v1,v1,6901.0,v1,2.0,v1,0.57,1.0,0
7.57,3350.0,0.55,1.0,v2,v2,6622.0,v1,0.0,v1,1.29,1.0,0
6.54,3490.0,0.6,2.0,v1,v2,5281.0,v3,0.0,v3,0.56,0.0,0
1.64,3568.0,0.49,1.0,v1,v1,6276.0,v2,1.0,v1,1.31,0.0,0
1.46,3538.0,0.6,2.0,v1,v2,4917.0,v1,0.0,v2,1.88,1.0,0
3.64,3071.0,0.14,0.0,v1,v1,4391.0,v1,0.0,v2,0.84,1.0,0
1.53,3102.0,0.14,2.0,v2,v2,4515.0,v1,1.0,v3,0.95,2.0,0
1.55,3477.0,0.31,0.0,v2,v2,6787.0,v3,2.0,v1,0.55,1.0,0
2.01,3113.0,0.63,2.0,v2,v2,7187.0,v1,1.0,v1,1.87,0.0,0
1.65,3471.0,0.42,0.0,v1,v1,4653.0,v1,2.0,v3,0.84,1.0,0
5.53,3081.0,0.5,0.0,v1,v1,4595.0,v1,0.0,v2,0.82,1.0,1
6.54,3555.0,0.51,0.0,v1,v1,3877.0,v1,0.0,v2,0.56,0.0,0
1.71,3338.0,0.48,1.0,v2,v2,7358.0,v1,1.0,v1,1.93,1.0,0
6.61,3123.0,0.41,2.0,v1,v2,4784.0,v3,0.0,v1,0.55,1.0,0
1.44,3115.0,0.46,2.0,v2,v2,5995.0,v1,0.0,v3,1.17,0.0,0
7.58,3422.0,0.14,1.0,v1,v2,3197.0,v1,2.0,v1,1.48,1.0,0
1.55,3482.0,0.5,2.0,v1,v1,3036.0,v2,1.0,v2,1.23,0.0,1
5.47,3490.0,0.51,1.0,v2,v1,4250.0,v1,1.0,v1,1.28,1.0,1
1.5,3073.0,0.49,1.0,v2,v1,6145.0,v1,1.0,v1,1.44,1.0,0
6.79,3105.0,0.41,1.0,v1,v2,3716.0,v1,1.0,v2,0.56,0.0,0
1.88,3163.0,0.53,1.0,v1,v2,3554.0,v2,1.0,v2,0.55,1.0,0
8.02,3249.0,0.43,2.0,v1,v1,7256.0,v1,2.0,v2,0.55,1.0,1
7.12,3488.0,0.47,1.0,v2,v1,6874.0,v1,2.0,v1,1.79,2.0,1
2.23,3542.0,0.13,0.0,v2,v2,6481.0,v1,0.0,v3,1.3,1.0,0
2.12,3581.0,0.39,0.0,v1,v1,3340.0,v1,1.0,v1,1.18,1.0,1
7.35,3304.0,0.47,1.0,v2,v2,4474.0,v1,0.0,v1,0.58,1.0,0
2.23,3096.0,0.19,0.0,v1,v1,4506.0,v1,2.0,v2,0.55,2.0,1
2.03,3110.0,0.46,1.0,v1,v2,3103.0,v1,1.0,v3,0.69,0.0,1
1.57,3081.0,0.46,2.0,v1,v2,4752.0,v1,1.0,v1,1.59,0.0,0
1.57,3242.0,0.59,1.0,v1,v1,5482.0,v1,0.0,v1,1.75,1.0,1
1.56,3130.0,0.62,2.0,v2,v1,3069.0,v1,2.0,v1,0.8,1.0,1
1.75,3135.0,0.47,2.0,v1,v1,6781.0,v1,1.0,v2,1.57,1.0,1
1.42,3447.0,0.22,1.0,v1,v1,5173.0,v1,1.0,v3,1.65,1.0,0
8.23,3084.0,0.62,1.0,v1,v2,6679.0,v1,1.0,v3,0.6,1.0,0
1.49,3468.0,0.48,1.0,v1,v2,3290.0,v1,0.0,v2,0.65,2.0,0
5.53,3479.0,0.13,1.0,v1,v1,7065.0,v1,0.0,v1,0.94,1.0,1
2.2,3075.0,0.56,1.0,v1,v1,4531.0,v2,1.0,v3,0.55,1.0,1
7.63,3598.0,0.52,0.0,v1,v1,4648.0,v1,1.0,v2,1.71,1.0,0
2.02,3106.0,0.33,2.0,v1,v2,7252.0,v1,0.0,v1,0.56,1.0,1
1.45,3098.0,0.52,0.0,v1,v2,7223.0,v1,1.0,v3,1.36,0.0,0
5.5,3159.0,0.13,1.0,v2,v2,4828.0,v1,1.0,v3,1.31,1.0,0
6.73,3115.0,0.43,0.0,v2,v2,3141.0,v1,0.0,v3,0.55,2.0,0
1.83,3072.0,0.42,0.0,v1,v2,7258.0,v1,0.0,v2,1.76,1.0,1
1.61,3102.0,0.51,0.0,v1,v1,3270.0,v3,1.0,v1,0.55,1.0,1
5.5,3112.0,0.67,0.0,v2,v1,3031.0,v2,1.0,v1,0.56,2.0,1
7.09,3133.0,0.51,1.0,v1,v1,4472.0,v1,1.0,v1,1.71,1.0,1
1.53,3520.0,0.44,2.0,v1,v1,4199.0,v2,0.0,v3,0.58,1.0,1
3.44,3071.0,0.14,2.0,v1,v1,4482.0,v1,1.0,v2,1.57,0.0,0
6.84,3218.0,0.14,1.0,v1,v1,3927.0,v3,1.0,v2,1.18,1.0,0
5.01,3477.0,0.42,0.0,v2,v1,7278.0,v1,1.0,v1,0.86,1.0,1
5.64,3532.0,0.33,1.0,v1,v1,4543.0,v1,2.0,v2,1.16,1.0,0
2.04,3594.0,0.13,1.0,v2,v1,6444.0,v1,2.0,v3,1.44,2.0,0
5.77,3069.0,0.51,0.0,v1,v2,5287.0,v1,2.0,v1,1.87,2.0,0
2.37,3489.0,0.61,2.0,v1,v2,3835.0,v1,1.0,v1,1.2,0.0,0
7.77,3086.0,0.14,2.0,v2,v2,4791.0,v1,1.0,v1,0.85,0.0,0
1.81,3531.0,0.46,1.0,v1,v1,5381.0,v1,0.0,v2,0.59,2.0,0
5.69,3087.0,0.2,0.0,v1,v2,3045.0,v1,0.0,v3,1.78,1.0,0
1.53,3152.0,0.53,2.0,v1,v1,7130.0,v1,2.0,v2,0.6,0.0,0
7.95,3477.0,0.28,0.0,v1,v2,6512.0,v2,1.0,v1,2.04,1.0,0
4.33,3110.0,0.62,0.0,v1,v1,3278.0,v1,0.0,v2,1.46,0.0,0
7.09,3407.0,0.19,1.0,v2,v2,3886.0,v1,1.0,v2,2.07,2.0,0
1.91,3076.0,0.47,1.0,v2,v1,7058.0,v1,0.0,v1,1.13,2.0,1
3.66,3338.0,0.53,1.0,v1,v2,6503.0,v3,2.0,v2,0.92,0.0,1
7.39,3480.0,0.47,2.0,v1,v1,7195.0,v2,0.0,v2,1.08,1.0,0
1.63,3127.0,0.61,1.0,v1,v2,3309.0,v1,2.0,v1,0.56,0.0,0
1.83,3228.0,0.15,1.0,v2,v2,5779.0,v3,0.0,v3,0.55,1.0,0
1.82,3097.0,0.52,2.0,v2,v2,6253.0,v1,0.0,v2,0.56,2.0,0
7.45,3480.0,0.13,0.0,v1,v2,4590.0,v3,0.0,v1,1.24,1.0,1
3.65,3112.0,0.14,2.0,v1,v2,5053.0,v3,2.0,v2,1.21,0.0,0
5.6,3474.0,0.28,0.0,v2,v2,6439.0,v1,0.0,v3,0.56,1.0,0
1.52,3140.0,0.62,0.0,v1,v2,7359.0,v1,0.0,v3,1.6,1.0,0
5.0,3350.0,0.58,0.0,v2,v1,5602.0,v1,2.0,v2,0.57,0.0,0
1.51,3607.0,0.14,2.0,v1,v2,3197.0,v1,1.0,v3,1.15,1.0,0
2.77,3485.0,0.13,2.0,v2,v2,3786.0,v1,2.0,v1,0.55,0.0,1
7.77,3114.0,0.21,0.0,v2,v1,7086.0,v1,0.0,v1,1.86,1.0,1
1.63,3202.0,0.46,2.0,v2,v1,6274.0,v2,1.0,v2,1.28,0.0,0
3.57,3104.0,0.53,0.0,v2,v1,3996.0,v1,0.0,v3,0.56,0.0,1
1.43,3074.0,0.44,2.0,v1,v2,4017.0,v1,1.0,v1,1.2,2.0,0
1.47,3071.0,0.13,1.0,v2,v1,3973.0,v1,1.0,v3,1.07,1.0,0
1.63,3072.0,0.53,0.0,v1,v1,7291.0,v1,1.0,v1,1.4,0.0,1
7.23,3079.0,0.52,0.0,v1,v1,7358.0,v1,1.0,v3,1.31,2.0,0
1.44,3123.0,0.14,0.0,v1,v1,4584.0,v1,1.0,v2,1.54,0.0,0
2.97,3486.0,0.41,2.0,v1,v2,4574.0,v1,2.0,v1,0.55,1.0,0
2.0,3126.0,0.31,0.0,v2,v1,4584.0,v1,2.0,v2,1.19,0.0,0
1.49,3145.0,0.65,2.0,v1,v1,6873.0,v1,0.0,v2,2.07,0.0,0
5.48,3602.0,0.37,1.0,v2,v1,3590.0,v1,2.0,v3,0.56,1.0,1
6.51,3484.0,0.13,2.0,v1,v2,4505.0,v1,1.0,v1,1.4,0.0,0
1.58,3462.0,0.14,0.0,v2,v1,7325.0,v1,1.0,v1,1.16,1.0,1
7.87,3361.0,0.22,1.0,v2,v2,4516.0,v1,1.0,v1,1.3,0.0,0
7.68,3071.0,0.58,2.0,v1,v1,3928.0,v1,0.0,v2,1.74,1.0,0
6.62,3429.0,0.53,0.0,v1,v2,3687.0,v1,1.0,v1,1.4,1.0,0
7.99,3415.0,0.2,2.0,v1,v2,3137.0,v1,1.0,v2,1.63,0.0,0
7.27,3128.0,0.22,1.0,v1,v2,3402.0,v1,1.0,v1,1.71,0.0,0
4.9,3134.0,0.47,0.0,v1,v2,7341.0,v1,1.0,v3,0.55,2.0,0
1.62,3075.0,0.13,0.0,v1,v1,7328.0,v1,0.0,v1,1.07,1.0,1
3.22,3598.0,0.27,1.0,v1,v1,3993.0,v1,1.0,v3,0.55,0.0,1
1.59,3071.0,0.56,0.0,v1,v2,3032.0,v2,2.0,v2,0.55,0.0,0
3.29,3095.0,0.51,0.0,v2,v2,6115.0,v1,1.0,v3,1.8,0.0,0
1.46,3295.0,0.48,1.0,v1,v2,4509.0,v1,0.0,v2,1.17,0.0,0
1.84,3088.0,0.52,0.0,v2,v2,3345.0,v2,1.0,v3,0.56,1.0,1
2.92,3083.0,0.5,1.0,v1,v1,3205.0,v1,1.0,v2,1.56,2.0,0
1.61,3594.0,0.49,0.0,v2,v1,6635.0,v1,1.0,v3,1.36,1.0,0
1.45,3292.0,0.53,1.0,v1,v2,3255.0,v1,2.0,v1,0.56,0.0,0
