LOC6_0,LOC6_1,Added_LoC,Del_LoC,Diff_Block,Mod_Rate,Mod_Know,ReusedLoC,class
252.0,240.0,32.0,44.0,10.0,27.0,2.0,208.0,1
1624.0,1629.0,190.0,185.0,51.0,21.0,2.0,1439.0,1
481.0,480.0,56.0,57.0,11.0,21.0,2.0,424.0,1
392.0,400.0,43.0,35.0,6.0,18.0,2.0,357.0,1
1854.0,1861.0,261.0,254.0,64.0,24.0,2.0,1600.0,1
354.0,361.0,57.0,50.0,10.0,26.0,2.0,304.0,1
1154.0,1133.0,142.0,163.0,34.0,24.0,2.0,991.0,1
910.0,984.0,205.0,131.0,36.0,30.0,2.0,779.0,1
992.0,1043.0,204.0,153.0,36.0,30.0,2.0,839.0,1
1396.0,1401.0,184.0,179.0,36.0,23.0,2.0,1217.0,1
278.0,267.0,37.0,48.0,10.0,27.0,2.0,230.0,1
483.0,459.0,87.0,111.0,21.0,35.0,2.0,372.0,1
1000.0,986.0,157.0,171.0,31.0,28.0,2.0,829.0,1
1865.0,1804.0,199.0,260.0,55.0,22.0,2.0,1605.0,1
313.0,312.0,52.0,53.0,13.0,29.0,2.0,260.0,1
988.0,994.0,151.0,145.0,29.0,26.0,2.0,843.0,1
874.0,864.0,109.0,119.0,23.0,23.0,2.0,755.0,0
992.0,1003.0,187.0,176.0,34.0,31.0,2.0,816.0,0
2358.0,2394.0,360.0,324.0,80.0,25.0,2.0,2034.0,0
